#Mapping quality	mapping quality
0.0	216024.0
1.0	149007.0
2.0	46000.0
3.0	31138.0
4.0	24214.0
5.0	23073.0
6.0	21619.0
7.0	22303.0
8.0	24405.0
9.0	29586.0
10.0	35772.0
11.0	28896.0
12.0	20999.0
13.0	17674.0
14.0	17134.0
15.0	17498.0
16.0	19440.0
17.0	19443.0
18.0	18062.0
19.0	17551.0
20.0	18037.0
21.0	16928.0
22.0	16141.0
23.0	15174.0
24.0	14455.0
25.0	14677.0
26.0	15239.0
27.0	14280.0
28.0	14815.0
29.0	14768.0
30.0	16119.0
31.0	17882.0
32.0	19686.0
33.0	20639.0
34.0	22330.0
35.0	27670.0
36.0	37534.0
37.0	62158.0
38.0	127742.0
39.0	333386.0
40.0	910958.0
41.0	2160680.0
42.0	3743534.0
43.0	3594195.0
44.0	96823.0
