#Coverage (X)	Coverage
1.0	99.92856029457671
2.0	99.92418425274768
3.0	99.91358962516158
4.0	99.89595384756485
5.0	99.87153191487612
6.0	99.8329125231706
7.0	99.77673961029373
8.0	99.67985799250727
9.0	99.5361313404795
10.0	99.31046083751025
11.0	98.99279474842078
12.0	98.56020820746386
13.0	97.96097014873196
14.0	97.19616635703977
15.0	96.23584726791452
16.0	95.05756510287605
17.0	93.64306716113745
18.0	91.99478000724679
19.0	90.10776003004005
20.0	87.93280143586816
21.0	85.49802769656098
22.0	82.8372050747279
23.0	79.96483537815952
24.0	76.94069435116337
25.0	73.7753848469681
26.0	70.48940516677285
27.0	67.11791170677559
28.0	63.69739341726505
29.0	60.23201247336434
30.0	56.79680318628489
31.0	53.40689251265001
32.0	50.08941684718525
33.0	46.86074521853681
34.0	43.71802332874479
35.0	40.7083758838967
36.0	37.82291096441134
37.0	35.08402699491367
38.0	32.46162634936525
39.0	29.987213238678123
40.0	27.65970187803758
41.0	25.46937778360885
42.0	23.446272776290087
43.0	21.56970759074632
44.0	19.82467042934975
45.0	18.20860311727175
46.0	16.723414003580615
47.0	15.375469735599054
48.0	14.140430637063673
49.0	13.00057867395239
50.0	11.953577763785049
51.0	10.984531267929327
