#Insert size (bp)	insert size
148.0	4.0
149.0	25.0
150.0	4295.0
151.0	8291.0
152.0	8290.0
153.0	8478.0
154.0	8504.0
155.0	8492.0
156.0	8841.0
157.0	8606.0
158.0	8450.0
159.0	8295.0
160.0	8484.0
161.0	8334.0
162.0	8242.0
163.0	8539.0
164.0	8435.0
165.0	8514.0
166.0	8651.0
167.0	8554.0
168.0	8635.0
169.0	8328.0
170.0	8271.0
171.0	8395.0
172.0	8378.0
173.0	8270.0
174.0	8442.0
175.0	8465.0
176.0	8693.0
177.0	8523.0
178.0	8515.0
179.0	8370.0
180.0	8287.0
181.0	8361.0
182.0	8446.0
183.0	8241.0
184.0	8438.0
185.0	8274.0
186.0	8368.0
187.0	8385.0
188.0	8368.0
189.0	8569.0
190.0	8504.0
191.0	8201.0
192.0	8172.0
193.0	8139.0
194.0	8115.0
195.0	8218.0
196.0	8304.0
197.0	8220.0
198.0	8476.0
199.0	8126.0
200.0	8312.0
201.0	8032.0
202.0	8134.0
203.0	7975.0
204.0	7829.0
205.0	8043.0
206.0	8041.0
207.0	8137.0
208.0	8414.0
209.0	8194.0
210.0	8020.0
211.0	7909.0
212.0	7811.0
213.0	7606.0
214.0	7808.0
215.0	7667.0
216.0	7561.0
217.0	7742.0
218.0	7917.0
219.0	7909.0
220.0	7660.0
221.0	7622.0
222.0	7525.0
223.0	7384.0
224.0	7454.0
225.0	7389.0
226.0	7271.0
227.0	7456.0
228.0	7227.0
229.0	7489.0
230.0	7414.0
231.0	7296.0
232.0	7182.0
233.0	7018.0
234.0	6802.0
235.0	6905.0
236.0	6830.0
237.0	6834.0
238.0	6774.0
239.0	7101.0
240.0	6883.0
241.0	6900.0
242.0	6777.0
243.0	6719.0
244.0	6549.0
245.0	6377.0
246.0	6288.0
247.0	6179.0
248.0	6295.0
249.0	6293.0
250.0	6456.0
251.0	6235.0
252.0	6144.0
253.0	6226.0
254.0	6056.0
255.0	5983.0
256.0	5660.0
257.0	5467.0
258.0	5512.0
259.0	5470.0
260.0	5497.0
261.0	5501.0
262.0	5285.0
263.0	5097.0
264.0	4868.0
265.0	4291.0
266.0	4204.0
267.0	4145.0
268.0	3976.0
269.0	4016.0
270.0	3917.0
271.0	3567.0
272.0	3566.0
273.0	3630.0
274.0	3557.0
275.0	3569.0
276.0	3551.0
277.0	3516.0
278.0	3520.0
279.0	3545.0
280.0	3508.0
281.0	3482.0
282.0	3557.0
283.0	3626.0
284.0	3526.0
285.0	3505.0
286.0	3545.0
287.0	3530.0
