#Duplication rate	Coverage
1.0	1720960.0
2.0	832593.0
3.0	305895.0
4.0	176364.0
5.0	85365.0
6.0	52574.0
7.0	29770.0
8.0	19561.0
9.0	12108.0
10.0	8764.0
11.0	5809.0
12.0	4557.0
13.0	3209.0
14.0	2599.0
15.0	1855.0
16.0	1568.0
17.0	1219.0
18.0	1077.0
19.0	858.0
20.0	859.0
21.0	655.0
22.0	622.0
23.0	523.0
24.0	553.0
25.0	430.0
26.0	466.0
27.0	413.0
28.0	363.0
29.0	304.0
30.0	325.0
31.0	277.0
32.0	292.0
33.0	242.0
34.0	239.0
35.0	243.0
36.0	239.0
37.0	226.0
38.0	192.0
39.0	186.0
40.0	177.0
41.0	167.0
42.0	202.0
43.0	162.0
44.0	176.0
45.0	128.0
46.0	157.0
47.0	138.0
48.0	126.0
49.0	124.0
50.0	4421.0
