#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	1.2063788488009198E-6
5.0	2.4127576976018395E-6
6.0	2.4127576976018395E-6
7.0	3.619136546402759E-6
8.0	6.031894244004599E-6
9.0	1.2063788488009198E-5
10.0	1.4476546185611036E-5
11.0	2.774671352242116E-5
12.0	3.61913654640276E-5
13.0	5.066791164963863E-5
14.0	6.273170013764782E-5
15.0	7.117635207925427E-5
16.0	1.0736771754328185E-4
17.0	1.097804752408837E-4
18.0	1.4959097725131406E-4
19.0	2.062907831449573E-4
20.0	2.810862717706143E-4
21.0	3.365796988154566E-4
22.0	4.958217068571781E-4
23.0	6.936678380605289E-4
24.0	9.590711847967313E-4
25.0	0.001505560803303548
26.0	0.0018505851540606111
27.0	0.003158299826160808
28.0	0.004878596064550919
29.0	0.007322719612221583
30.0	0.011009413374157194
31.0	0.016013472838983408
32.0	0.02256893550336761
33.0	0.030410398020573583
34.0	0.03945703300773168
35.0	0.04909600000965103
36.0	0.05775056187094883
37.0	0.0657150750307325
38.0	0.0708349468650436
39.0	0.07484133102191146
40.0	0.07481961620263304
41.0	0.07194481540594046
42.0	0.06789379523166697
43.0	0.060988482701130504
44.0	0.05306981193760126
45.0	0.04520060270687286
46.0	0.03746047601296616
47.0	0.02993267199644842
48.0	0.023932143602512643
49.0	0.018632521319730207
50.0	0.015230532966111612
51.0	0.013410107283271024
52.0	0.00847360503397766
53.0	0.006487905448851346
54.0	0.004235596138140029
55.0	0.0027119396521044677
56.0	0.001871093594490227
57.0	0.0012099979853473226
58.0	7.576059170469777E-4
59.0	5.428704819604138E-4
60.0	4.3188362787072924E-4
61.0	2.485140428529894E-4
62.0	1.339080522169021E-4
63.0	9.651030790407358E-5
64.0	6.876359438165242E-5
65.0	4.825515395203679E-5
66.0	2.6540334673620238E-5
67.0	2.5333955824819317E-5
68.0	1.9302061580814713E-5
69.0	7.238273092805519E-6
70.0	2.4127576976018395E-6
71.0	8.444651941606439E-6
72.0	3.619136546402759E-6
73.0	6.031894244004599E-6
74.0	0.0
75.0	4.825515395203679E-6
76.0	1.2063788488009198E-6
77.0	1.2063788488009198E-6
78.0	1.2063788488009198E-6
79.0	0.0
80.0	2.4127576976018395E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	1.2063788488009198E-6
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.2063788488009198E-5
