#Mapping quality	mapping quality
0.0	249487.0
1.0	131478.0
2.0	47621.0
3.0	31345.0
4.0	24035.0
5.0	22134.0
6.0	20948.0
7.0	21334.0
8.0	24358.0
9.0	29694.0
10.0	37515.0
11.0	27377.0
12.0	20291.0
13.0	18815.0
14.0	18997.0
15.0	17951.0
16.0	18888.0
17.0	20315.0
18.0	18550.0
19.0	18221.0
20.0	18021.0
21.0	17426.0
22.0	18222.0
23.0	16070.0
24.0	15473.0
25.0	14635.0
26.0	14674.0
27.0	15658.0
28.0	16730.0
29.0	17060.0
30.0	17432.0
31.0	18370.0
32.0	21590.0
33.0	25117.0
34.0	28080.0
35.0	35225.0
36.0	50576.0
37.0	86529.0
38.0	186510.0
39.0	463199.0
40.0	1234558.0
41.0	2785481.0
42.0	3956423.0
43.0	2234542.0
44.0	21682.0
