#Duplication rate	Coverage
1.0	1564905.0
2.0	555244.0
3.0	187895.0
4.0	87952.0
5.0	40625.0
6.0	22085.0
7.0	12224.0
8.0	7809.0
9.0	4851.0
10.0	3383.0
11.0	2356.0
12.0	1828.0
13.0	1288.0
14.0	1115.0
15.0	843.0
16.0	712.0
17.0	625.0
18.0	530.0
19.0	505.0
20.0	450.0
21.0	383.0
22.0	301.0
23.0	324.0
24.0	302.0
25.0	270.0
26.0	258.0
27.0	260.0
28.0	223.0
29.0	211.0
30.0	194.0
31.0	180.0
32.0	156.0
33.0	141.0
34.0	139.0
35.0	119.0
36.0	146.0
37.0	116.0
38.0	118.0
39.0	110.0
40.0	108.0
41.0	108.0
42.0	104.0
43.0	90.0
44.0	105.0
45.0	82.0
46.0	93.0
47.0	69.0
48.0	67.0
49.0	52.0
50.0	2103.0
