#GC Content (%)	Sample
1.0	0.0
2.0	1.5932192588344008E-6
3.0	1.5932192588344008E-6
4.0	1.5932192588344008E-6
5.0	9.559315553006405E-6
6.0	1.4338973329509607E-5
7.0	2.708472740018481E-5
8.0	2.7084727400184814E-5
9.0	7.647452442405124E-5
10.0	7.488130516521683E-5
11.0	1.0993212885957365E-4
12.0	1.975591880954657E-4
13.0	2.596947391900073E-4
14.0	3.297963865787209E-4
15.0	3.9989803396743454E-4
16.0	5.20982697638849E-4
17.0	6.579995538986076E-4
18.0	8.236943568173852E-4
19.0	0.0010467450530542012
20.0	0.0011981008826434695
21.0	0.001371761781856419
22.0	0.001765286938788516
23.0	0.0021253544912850906
24.0	0.002780167606666029
25.0	0.0038858617722971034
26.0	0.0038539973871204156
27.0	0.00566548768441513
28.0	0.007814740464582736
29.0	0.010384603129082624
30.0	0.014237007296944207
31.0	0.019222190357837045
32.0	0.02538954210878501
33.0	0.03349106203995794
34.0	0.04220119172800561
35.0	0.05114233820858426
36.0	0.05949240034413536
37.0	0.06638307363859414
38.0	0.06986585093840615
39.0	0.07249784915400057
40.0	0.07101296880476692
41.0	0.06762419144122614
42.0	0.06216263582194182
43.0	0.05530860657043622
44.0	0.04892457700028678
45.0	0.04130420928528185
46.0	0.03393716343243157
47.0	0.0273667272089985
48.0	0.021865341108243317
49.0	0.017477615269413375
50.0	0.014179651403626169
51.0	0.012967211547653188
52.0	0.008224197814103178
53.0	0.006157792435394958
54.0	0.004083420960392569
55.0	0.0027228117133479912
56.0	0.0017684733773061848
57.0	0.0011710161552432848
58.0	7.504062709110027E-4
59.0	5.401013287448618E-4
60.0	4.0467769174393783E-4
61.0	2.549150814135042E-4
62.0	1.3383041774208966E-4
63.0	9.718637478889844E-5
64.0	5.416945480036963E-5
65.0	4.142370072969442E-5
66.0	2.3898288882516013E-5
67.0	2.2305069623681614E-5
68.0	1.4338973329509607E-5
69.0	1.1152534811840805E-5
70.0	6.372877035337603E-6
71.0	3.1864385176688015E-6
72.0	3.1864385176688015E-6
73.0	4.779657776503202E-6
74.0	0.0
75.0	6.372877035337603E-6
76.0	1.5932192588344008E-6
77.0	0.0
78.0	0.0
79.0	1.5932192588344008E-6
80.0	1.5932192588344008E-6
81.0	0.0
82.0	1.5932192588344008E-6
83.0	0.0
84.0	0.0
85.0	1.5932192588344008E-6
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.2745754070675206E-5
