#Duplication rate	Coverage
1.0	1545874.0
2.0	565475.0
3.0	188303.0
4.0	90073.0
5.0	40959.0
6.0	22519.0
7.0	12289.0
8.0	7903.0
9.0	4799.0
10.0	3477.0
11.0	2458.0
12.0	1852.0
13.0	1313.0
14.0	1163.0
15.0	894.0
16.0	799.0
17.0	643.0
18.0	605.0
19.0	544.0
20.0	521.0
21.0	426.0
22.0	405.0
23.0	358.0
24.0	338.0
25.0	290.0
26.0	303.0
27.0	234.0
28.0	241.0
29.0	209.0
30.0	198.0
31.0	195.0
32.0	208.0
33.0	167.0
34.0	180.0
35.0	146.0
36.0	128.0
37.0	128.0
38.0	155.0
39.0	129.0
40.0	111.0
41.0	100.0
42.0	129.0
43.0	89.0
44.0	105.0
45.0	90.0
46.0	78.0
47.0	81.0
48.0	72.0
49.0	77.0
50.0	2371.0
