#Coverage (X)	Coverage
1.0	99.92194687797794
2.0	99.91719245659226
3.0	99.90583284425034
4.0	99.89671060667816
5.0	99.88203606039431
6.0	99.87019113514279
7.0	99.85195488564095
8.0	99.83052708683523
9.0	99.7991215836336
10.0	99.75754096061522
11.0	99.70518474587494
12.0	99.64391193462588
13.0	99.56013376539892
14.0	99.44702295488935
15.0	99.3057146417671
16.0	99.12182217723709
17.0	98.88898713961918
18.0	98.59214837743032
19.0	98.22776886438012
20.0	97.78578041400482
21.0	97.2435460580459
22.0	96.60494007413772
23.0	95.8366815125805
24.0	94.94615700037139
25.0	93.93069320368625
26.0	92.75310199262077
27.0	91.41886987074636
28.0	89.95041171397303
29.0	88.29215508132899
30.0	86.47292262425964
31.0	84.4786484940288
32.0	82.33897790633543
33.0	80.02713639472555
34.0	77.57289255953617
35.0	75.00617128831247
36.0	72.33078105354852
37.0	69.55374655396989
38.0	66.73068135876099
39.0	63.86151143713902
40.0	60.97305238377064
41.0	58.07929601660922
42.0	55.15836212650956
43.0	52.25025201312319
44.0	49.374386418477094
45.0	46.54661615573773
46.0	43.80538787811736
47.0	41.15350652972068
48.0	38.582631309016406
49.0	36.10544615679472
50.0	33.72302863222781
51.0	31.441194264588475
