#Insert size (bp)	insert size
141.0	1.0
142.0	1.0
143.0	1.0
144.0	2.0
146.0	3.0
147.0	7.0
148.0	8.0
149.0	27.0
150.0	7224.0
151.0	14148.0
152.0	13976.0
153.0	14383.0
154.0	14304.0
155.0	14302.0
156.0	14587.0
157.0	14127.0
158.0	14024.0
159.0	14072.0
160.0	14117.0
161.0	14146.0
162.0	14233.0
163.0	14359.0
164.0	14101.0
165.0	14219.0
166.0	14366.0
167.0	14388.0
168.0	14140.0
169.0	14127.0
170.0	14024.0
171.0	13818.0
172.0	13921.0
173.0	14017.0
174.0	14140.0
175.0	14018.0
176.0	14316.0
177.0	14263.0
178.0	14403.0
179.0	14239.0
180.0	13857.0
181.0	13805.0
182.0	13861.0
183.0	14083.0
184.0	14017.0
185.0	13878.0
186.0	14313.0
187.0	14191.0
188.0	13820.0
189.0	14031.0
190.0	14265.0
191.0	13666.0
192.0	13494.0
193.0	13759.0
194.0	13938.0
195.0	13767.0
196.0	13946.0
197.0	13772.0
198.0	13672.0
199.0	13708.0
200.0	13791.0
201.0	13642.0
202.0	13539.0
203.0	13302.0
204.0	13243.0
205.0	13534.0
206.0	13566.0
207.0	13585.0
208.0	13691.0
209.0	13459.0
210.0	13457.0
211.0	13363.0
212.0	13275.0
213.0	13108.0
214.0	12874.0
215.0	13111.0
216.0	13006.0
217.0	12931.0
218.0	13152.0
219.0	13252.0
220.0	13272.0
221.0	12849.0
222.0	12815.0
223.0	12322.0
224.0	12483.0
225.0	12378.0
226.0	12375.0
227.0	12563.0
228.0	12256.0
229.0	12383.0
230.0	12701.0
231.0	12409.0
232.0	12194.0
233.0	12091.0
234.0	11890.0
235.0	11680.0
236.0	11788.0
237.0	11609.0
238.0	11600.0
239.0	11740.0
240.0	11754.0
241.0	11743.0
242.0	11569.0
243.0	11545.0
244.0	11232.0
245.0	10989.0
246.0	10964.0
247.0	10655.0
248.0	10728.0
249.0	10733.0
250.0	10724.0
251.0	10660.0
252.0	10423.0
253.0	10395.0
254.0	10064.0
255.0	10004.0
256.0	9762.0
257.0	9523.0
258.0	9495.0
259.0	9350.0
260.0	9107.0
261.0	8892.0
262.0	8888.0
263.0	8385.0
264.0	7806.0
265.0	6906.0
266.0	6688.0
267.0	6320.0
268.0	6152.0
269.0	6009.0
270.0	6119.0
271.0	5182.0
272.0	5143.0
273.0	5327.0
274.0	5105.0
275.0	5204.0
276.0	5228.0
277.0	5192.0
278.0	5078.0
279.0	5080.0
280.0	5065.0
281.0	5028.0
282.0	5076.0
