#GC Content (%)	Sample
1.0	0.0
2.0	1.6016657323616562E-6
3.0	1.6016657323616562E-6
4.0	3.2033314647233125E-6
5.0	3.2033314647233125E-6
6.0	1.1211660126531595E-5
7.0	1.6016657323616562E-5
8.0	3.683831184431809E-5
9.0	4.1643309041403065E-5
10.0	6.406662929446625E-5
11.0	7.687995515335949E-5
12.0	1.1211660126531593E-4
13.0	1.2653159285657084E-4
14.0	1.5856490750380396E-4
15.0	2.1782653960118525E-4
16.0	2.9951149195162974E-4
17.0	3.876031072315208E-4
18.0	5.669896692560263E-4
19.0	6.999279250420437E-4
20.0	7.896212060542965E-4
21.0	9.978377512613117E-4
22.0	0.0013870425242251943
23.0	0.0016785456875150159
24.0	0.0021830703932089373
25.0	0.0030191399055017215
26.0	0.0031504764955553777
27.0	0.0047104989188756306
28.0	0.006589252822935853
29.0	0.008977336429887081
30.0	0.012842155842075759
31.0	0.0179114278850004
32.0	0.0240057659966365
33.0	0.0320717546248098
34.0	0.041121166012653164
35.0	0.048988548090013614
36.0	0.058598542484183544
37.0	0.06560102506606871
38.0	0.07015135741170818
39.0	0.07261311764234804
40.0	0.07182349643629375
41.0	0.06917754464643229
42.0	0.06429887082565869
43.0	0.057615119724513504
44.0	0.05054857051333387
45.0	0.043485224633618966
46.0	0.03563225754784976
47.0	0.028572114999599583
48.0	0.023134459838231758
49.0	0.018564907503803952
50.0	0.015092496196043885
51.0	0.013554897092976696
52.0	0.008807559862256748
53.0	0.006675742772483383
54.0	0.004385360775206214
55.0	0.0027676783855209424
56.0	0.0018755505725954991
57.0	0.0011820293104829024
58.0	8.136461920397213E-4
59.0	5.653880035236647E-4
60.0	4.436614078641787E-4
61.0	2.594698486425883E-4
62.0	1.4895491310963404E-4
63.0	1.1531993273003923E-4
64.0	5.926163209738128E-5
65.0	5.765996636501963E-5
66.0	2.4024985985424843E-5
67.0	1.6016657323616562E-5
68.0	1.2813325858893251E-5
69.0	1.9219988788339872E-5
70.0	4.804997197084969E-6
71.0	8.008328661808281E-6
72.0	1.6016657323616562E-6
73.0	6.406662929446625E-6
74.0	0.0
75.0	6.406662929446624E-6
76.0	1.6016657323616562E-6
77.0	0.0
78.0	3.2033314647233125E-6
79.0	0.0
80.0	1.6016657323616562E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	1.6016657323616562E-6
85.0	1.6016657323616562E-6
86.0	0.0
87.0	1.6016657323616562E-6
88.0	0.0
89.0	0.0
90.0	3.2033314647233125E-6
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.6016657323616562E-5
