#Insert size (bp)	insert size
141.0	3.0
144.0	2.0
145.0	1.0
146.0	2.0
147.0	1.0
148.0	6.0
149.0	35.0
150.0	8107.0
151.0	15855.0
152.0	16146.0
153.0	16033.0
154.0	16467.0
155.0	16396.0
156.0	16308.0
157.0	16385.0
158.0	16087.0
159.0	16147.0
160.0	16035.0
161.0	16021.0
162.0	15903.0
163.0	15957.0
164.0	15853.0
165.0	16317.0
166.0	16169.0
167.0	15889.0
168.0	15892.0
169.0	15784.0
170.0	15652.0
171.0	15580.0
172.0	15372.0
173.0	15379.0
174.0	15623.0
175.0	15309.0
176.0	15722.0
177.0	15884.0
178.0	15427.0
179.0	15284.0
180.0	15097.0
181.0	15037.0
182.0	15015.0
183.0	15038.0
184.0	14826.0
185.0	14918.0
186.0	15011.0
187.0	15111.0
188.0	15026.0
189.0	14789.0
190.0	14686.0
191.0	14409.0
192.0	13914.0
193.0	14124.0
194.0	14118.0
195.0	14185.0
196.0	14021.0
197.0	13820.0
198.0	13966.0
199.0	13596.0
200.0	13718.0
201.0	13590.0
202.0	13646.0
203.0	13393.0
204.0	13453.0
205.0	13424.0
206.0	13087.0
207.0	13163.0
208.0	13246.0
209.0	13012.0
210.0	12807.0
211.0	12732.0
212.0	12761.0
213.0	12564.0
214.0	12506.0
215.0	12405.0
216.0	12359.0
217.0	12324.0
218.0	12150.0
219.0	12143.0
220.0	11972.0
221.0	11841.0
222.0	11799.0
223.0	11518.0
224.0	11290.0
225.0	11321.0
226.0	11373.0
227.0	11374.0
228.0	11213.0
229.0	11277.0
230.0	11220.0
231.0	10985.0
232.0	11113.0
233.0	10750.0
234.0	10735.0
235.0	10696.0
236.0	10255.0
237.0	10475.0
238.0	10546.0
239.0	10416.0
240.0	10233.0
241.0	10460.0
242.0	10028.0
243.0	10245.0
244.0	9999.0
245.0	9878.0
246.0	9866.0
247.0	9716.0
248.0	9652.0
249.0	9520.0
250.0	9565.0
251.0	9444.0
252.0	9562.0
253.0	9521.0
254.0	9283.0
255.0	9102.0
256.0	8919.0
257.0	8829.0
258.0	8781.0
259.0	8871.0
260.0	9058.0
261.0	8670.0
262.0	8778.0
263.0	8505.0
264.0	8406.0
265.0	8198.0
266.0	7956.0
267.0	7804.0
268.0	7856.0
269.0	7777.0
270.0	7920.0
271.0	7527.0
272.0	7563.0
273.0	7530.0
274.0	7419.0
275.0	7472.0
276.0	7405.0
277.0	7311.0
278.0	7517.0
279.0	7415.0
280.0	7305.0
281.0	7233.0
282.0	7231.0
283.0	7236.0
284.0	7340.0
285.0	7164.0
286.0	7146.0
287.0	6945.0
288.0	7091.0
289.0	7125.0
290.0	6897.0
291.0	6857.0
292.0	6984.0
293.0	6895.0
294.0	6909.0
295.0	6781.0
296.0	6829.0
297.0	6819.0
298.0	6894.0
299.0	6809.0
300.0	6702.0
301.0	6615.0
302.0	6560.0
303.0	6684.0
304.0	6573.0
305.0	6577.0
306.0	6541.0
307.0	6481.0
308.0	6443.0
309.0	6298.0
310.0	6438.0
311.0	6387.0
312.0	6188.0
