#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	1.2700154433877915E-6
6.0	2.540030886775583E-6
7.0	5.080061773551166E-6
8.0	1.1430138990490123E-5
9.0	1.1430138990490121E-5
10.0	1.1430138990490125E-5
11.0	1.2700154433877914E-5
12.0	4.064049418840933E-5
13.0	5.4610664065675035E-5
14.0	4.826058684873608E-5
15.0	8.763106559375764E-5
16.0	1.0668129724457449E-4
17.0	1.2573152889539137E-4
18.0	1.8923230106478094E-4
19.0	2.794033975453141E-4
20.0	3.6703446313907177E-4
21.0	4.7752580671380965E-4
22.0	6.64218076891815E-4
23.0	9.423514589937414E-4
24.0	0.001419877265707551
25.0	0.00230634804519223
26.0	0.0026314719986995044
27.0	0.004456484190847761
28.0	0.006939364382670893
29.0	0.00998994147768837
30.0	0.014955701861334636
31.0	0.020800312931805252
32.0	0.02787429895147525
33.0	0.036394832561163944
34.0	0.04523287003169959
35.0	0.05384357473786881
36.0	0.06204660448671056
37.0	0.06844113224416809
38.0	0.07168475168658052
39.0	0.07322274038852312
40.0	0.0715907705437698
41.0	0.06762070226773957
42.0	0.06227520726652037
43.0	0.05532060269852881
44.0	0.047945623018775904
45.0	0.04043221165569373
46.0	0.03329853491018451
47.0	0.026246139153052104
48.0	0.021346419572462
49.0	0.016828974640331628
50.0	0.013655206047305534
51.0	0.012372490449483867
52.0	0.00798204706169227
53.0	0.005894141672762742
54.0	0.004001818662114931
55.0	0.0024536698366252135
56.0	0.0016611801999512317
57.0	0.0010718930342192962
58.0	7.632792814760628E-4
59.0	5.194363163456068E-4
60.0	3.96244818336991E-4
61.0	2.4130293424368037E-4
62.0	1.3081159066894254E-4
63.0	7.747094204665528E-5
64.0	6.477078761277736E-5
65.0	3.175038608469479E-5
66.0	3.175038608469479E-5
67.0	1.905023165081687E-5
68.0	1.5240185320653496E-5
69.0	8.89010810371454E-6
70.0	3.8100463301633745E-6
71.0	1.2700154433877915E-6
72.0	5.080061773551166E-6
73.0	0.0
74.0	1.2700154433877915E-6
75.0	3.8100463301633745E-6
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	2.540030886775583E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.080061773551166E-6
