#Mapping quality	mapping quality
0.0	180660.0
1.0	182511.0
2.0	46702.0
3.0	30376.0
4.0	24655.0
5.0	21948.0
6.0	20447.0
7.0	20430.0
8.0	21947.0
9.0	26373.0
10.0	36713.0
11.0	31809.0
12.0	21982.0
13.0	17351.0
14.0	15906.0
15.0	16244.0
16.0	17503.0
17.0	18437.0
18.0	16703.0
19.0	17446.0
20.0	18086.0
21.0	18187.0
22.0	17810.0
23.0	16738.0
24.0	16020.0
25.0	15571.0
26.0	15501.0
27.0	15000.0
28.0	14535.0
29.0	14915.0
30.0	15708.0
31.0	15887.0
32.0	16689.0
33.0	19232.0
34.0	20223.0
35.0	22582.0
36.0	26253.0
37.0	32245.0
38.0	41464.0
39.0	60162.0
40.0	135088.0
41.0	569986.0
42.0	3009589.0
43.0	7133140.0
44.0	79643.0
