#Mapping quality	mapping quality
0.0	193612.0
1.0	162082.0
2.0	45080.0
3.0	33952.0
4.0	25443.0
5.0	22275.0
6.0	22380.0
7.0	23266.0
8.0	23646.0
9.0	28968.0
10.0	34808.0
11.0	32516.0
12.0	19874.0
13.0	17724.0
14.0	17008.0
15.0	17119.0
16.0	17914.0
17.0	18254.0
18.0	17203.0
19.0	16877.0
20.0	17933.0
21.0	17166.0
22.0	17162.0
23.0	15842.0
24.0	13393.0
25.0	13415.0
26.0	15400.0
27.0	14672.0
28.0	14844.0
29.0	14777.0
30.0	15738.0
31.0	17050.0
32.0	17509.0
33.0	19654.0
34.0	23021.0
35.0	27668.0
36.0	40563.0
37.0	67874.0
38.0	147662.0
39.0	362597.0
40.0	897506.0
41.0	1963366.0
42.0	3129140.0
43.0	4222284.0
44.0	252183.0
