#Coverage (X)	Coverage
1.0	99.93106088990758
2.0	99.92574712482947
3.0	99.90408078239021
4.0	99.8946541960442
5.0	99.87230512527448
6.0	99.85947312291866
7.0	99.83543779542909
8.0	99.81836136152481
9.0	99.79119206422911
10.0	99.76876896267656
11.0	99.7360473566692
12.0	99.70689567952239
13.0	99.66806242111095
14.0	99.6280528958169
15.0	99.57483298861037
16.0	99.519235870711
17.0	99.45102884280426
18.0	99.37717079847546
19.0	99.28696840242804
20.0	99.1916578823659
21.0	99.07914754376145
22.0	98.95069590992263
23.0	98.80195984159057
24.0	98.63996403749083
25.0	98.45187649526758
26.0	98.24808620144351
27.0	98.00522410557447
28.0	97.74370625243428
29.0	97.44551848486955
30.0	97.10724716122795
31.0	96.72731295814259
32.0	96.31186865623025
33.0	95.84324557532406
34.0	95.32210176682689
35.0	94.74018691127534
36.0	94.10041288612709
37.0	93.40055876789745
38.0	92.63094297532184
39.0	91.78555256370657
40.0	90.86938049807088
41.0	89.8702528274618
42.0	88.80096042602247
43.0	87.63916244862573
44.0	86.379907058465
45.0	85.03190521098567
46.0	83.60041309176815
47.0	82.09838608780626
48.0	80.51373250457243
49.0	78.83714914035866
50.0	77.09157731219727
51.0	75.28094065157782
