#Duplication rate	Coverage
1.0	1778105.0
2.0	748485.0
3.0	276226.0
4.0	143201.0
5.0	69137.0
6.0	40167.0
7.0	22721.0
8.0	14081.0
9.0	8823.0
10.0	5780.0
11.0	4038.0
12.0	2882.0
13.0	2140.0
14.0	1672.0
15.0	1245.0
16.0	1009.0
17.0	835.0
18.0	717.0
19.0	601.0
20.0	483.0
21.0	485.0
22.0	403.0
23.0	321.0
24.0	311.0
25.0	275.0
26.0	307.0
27.0	248.0
28.0	229.0
29.0	192.0
30.0	219.0
31.0	175.0
32.0	148.0
33.0	163.0
34.0	144.0
35.0	147.0
36.0	161.0
37.0	125.0
38.0	101.0
39.0	121.0
40.0	123.0
41.0	111.0
42.0	107.0
43.0	94.0
44.0	82.0
45.0	96.0
46.0	92.0
47.0	72.0
48.0	81.0
49.0	100.0
50.0	2385.0
