#Coverage (X)	Coverage
1.0	99.93034525900697
2.0	99.92298330893745
3.0	99.91307963532437
4.0	99.89932636100453
5.0	99.88510422506016
6.0	99.87018290950024
7.0	99.85114877267245
8.0	99.83098772281723
9.0	99.80709223125078
10.0	99.78124726240334
11.0	99.74773599471256
12.0	99.71569711703567
13.0	99.67977573608191
14.0	99.636007092149
15.0	99.58682597542754
16.0	99.53019242656866
17.0	99.46941315387174
18.0	99.39615558144806
19.0	99.31373464323948
20.0	99.2186873437385
21.0	99.11158947792258
22.0	98.99357618446167
23.0	98.85778727748095
24.0	98.70209231556362
25.0	98.51874274344098
26.0	98.3157092087302
27.0	98.07852280621086
28.0	97.8073645000187
29.0	97.50833771691534
30.0	97.16165978660216
31.0	96.77201109968203
32.0	96.32657610508423
33.0	95.82037828907458
34.0	95.24974901508213
35.0	94.61332282644594
36.0	93.91561560091814
37.0	93.13320070855684
38.0	92.26775618043933
39.0	91.32239130944414
40.0	90.28235751850461
41.0	89.16320127201337
42.0	87.94112578611437
43.0	86.61729910204774
44.0	85.19110429662325
45.0	83.67273294094277
46.0	82.07141420593143
47.0	80.37721151540602
48.0	78.60992399095015
49.0	76.76238709791517
50.0	74.83215782046796
51.0	72.8511681029324
