#Insert size (bp)	insert size
142.0	1.0
144.0	3.0
145.0	2.0
146.0	4.0
147.0	3.0
148.0	13.0
149.0	38.0
150.0	10786.0
151.0	21397.0
152.0	21455.0
153.0	21506.0
154.0	21715.0
155.0	21507.0
156.0	21632.0
157.0	21716.0
158.0	21344.0
159.0	21344.0
160.0	20886.0
161.0	21240.0
162.0	20954.0
163.0	21395.0
164.0	21375.0
165.0	21646.0
166.0	21518.0
167.0	21420.0
168.0	21221.0
169.0	21145.0
170.0	20697.0
171.0	21370.0
172.0	21109.0
173.0	20716.0
174.0	21246.0
175.0	21403.0
176.0	21166.0
177.0	21484.0
178.0	20971.0
179.0	21108.0
180.0	20600.0
181.0	20572.0
182.0	20746.0
183.0	20859.0
184.0	20694.0
185.0	20917.0
186.0	21099.0
187.0	20873.0
188.0	21065.0
189.0	20848.0
190.0	20722.0
191.0	20458.0
192.0	20086.0
193.0	20121.0
194.0	19881.0
195.0	20432.0
196.0	20189.0
197.0	20502.0
198.0	20094.0
199.0	20279.0
200.0	20076.0
201.0	19599.0
202.0	19811.0
203.0	19535.0
204.0	19467.0
205.0	19496.0
206.0	19316.0
207.0	19855.0
208.0	19558.0
209.0	19645.0
210.0	19485.0
211.0	19104.0
212.0	18997.0
213.0	18585.0
214.0	18361.0
215.0	18348.0
216.0	18515.0
217.0	18555.0
218.0	18922.0
219.0	18471.0
220.0	18548.0
221.0	18100.0
222.0	17970.0
223.0	17708.0
224.0	17145.0
225.0	17204.0
226.0	17247.0
227.0	17212.0
228.0	17240.0
229.0	17318.0
230.0	17186.0
231.0	16955.0
232.0	16635.0
233.0	16453.0
234.0	15846.0
235.0	15673.0
236.0	15476.0
237.0	15501.0
238.0	15640.0
239.0	15379.0
240.0	15716.0
241.0	15446.0
242.0	15159.0
243.0	14766.0
244.0	14482.0
245.0	14202.0
246.0	13816.0
247.0	13806.0
248.0	13827.0
249.0	13748.0
250.0	13741.0
251.0	13524.0
252.0	13310.0
253.0	13064.0
254.0	12779.0
255.0	12439.0
256.0	11896.0
257.0	11675.0
258.0	11404.0
259.0	11456.0
260.0	11443.0
261.0	11220.0
262.0	11101.0
263.0	10398.0
264.0	9561.0
265.0	8706.0
266.0	8033.0
267.0	7780.0
268.0	7697.0
269.0	7652.0
270.0	7533.0
271.0	6838.0
272.0	6720.0
273.0	6695.0
274.0	6553.0
275.0	6696.0
276.0	6522.0
277.0	6674.0
278.0	6431.0
279.0	6462.0
280.0	6556.0
281.0	6376.0
282.0	6317.0
283.0	6377.0
284.0	6358.0
285.0	6290.0
286.0	6255.0
287.0	6206.0
288.0	6188.0
289.0	6223.0
290.0	6197.0
291.0	6233.0
292.0	6010.0
293.0	6062.0
294.0	5979.0
295.0	5983.0
296.0	5824.0
297.0	5808.0
298.0	5897.0
299.0	5820.0
300.0	5814.0
301.0	5696.0
302.0	5609.0
303.0	5778.0
304.0	5613.0
305.0	5705.0
306.0	5650.0
307.0	5644.0
308.0	5673.0
309.0	5546.0
310.0	5570.0
311.0	5582.0
312.0	5498.0
313.0	5434.0
314.0	5257.0
315.0	5521.0
316.0	5452.0
317.0	5212.0
318.0	5232.0
319.0	5107.0
320.0	5268.0
321.0	5098.0
322.0	5223.0
323.0	5132.0
324.0	5107.0
325.0	5002.0
326.0	5231.0
327.0	5129.0
328.0	5031.0
329.0	5141.0
330.0	4996.0
331.0	4770.0
332.0	4768.0
333.0	4808.0
334.0	4919.0
335.0	4791.0
336.0	4760.0
337.0	4713.0
338.0	4708.0
339.0	4701.0
340.0	4725.0
341.0	4582.0
342.0	4753.0
343.0	4455.0
344.0	4656.0
345.0	4617.0
346.0	4411.0
347.0	4485.0
348.0	4480.0
349.0	4320.0
350.0	4364.0
351.0	4313.0
352.0	4336.0
353.0	4303.0
354.0	4343.0
355.0	4289.0
356.0	4207.0
357.0	4246.0
358.0	4174.0
359.0	4297.0
360.0	4076.0
361.0	4191.0
362.0	4112.0
363.0	4059.0
364.0	4108.0
365.0	3930.0
366.0	3964.0
367.0	4015.0
368.0	3978.0
369.0	4002.0
370.0	3844.0
371.0	3870.0
372.0	3896.0
373.0	3838.0
374.0	3917.0
375.0	3822.0
376.0	3852.0
377.0	3722.0
378.0	3747.0
379.0	3651.0
380.0	3648.0
381.0	3575.0
382.0	3632.0
383.0	3458.0
384.0	3555.0
385.0	3563.0
386.0	3463.0
387.0	3402.0
388.0	3420.0
389.0	3490.0
390.0	3510.0
391.0	3442.0
392.0	3388.0
393.0	3315.0
394.0	3291.0
395.0	3397.0
396.0	3329.0
397.0	3231.0
398.0	3142.0
399.0	3248.0
400.0	3142.0
401.0	3165.0
402.0	3186.0
403.0	3155.0
404.0	3148.0
405.0	3058.0
406.0	3065.0
407.0	3004.0
408.0	3166.0
409.0	3030.0
410.0	3030.0
411.0	2951.0
412.0	2905.0
413.0	2948.0
414.0	2876.0
415.0	2899.0
416.0	2752.0
417.0	2835.0
418.0	2864.0
419.0	2763.0
420.0	2759.0
421.0	2718.0
422.0	2728.0
423.0	2758.0
424.0	2684.0
425.0	2743.0
426.0	2669.0
427.0	2668.0
428.0	2694.0
429.0	2572.0
430.0	2531.0
431.0	2496.0
432.0	2507.0
433.0	2508.0
434.0	2554.0
435.0	2516.0
436.0	2432.0
437.0	2403.0
438.0	2407.0
439.0	2319.0
440.0	2385.0
441.0	2273.0
442.0	2225.0
443.0	2279.0
444.0	2379.0
445.0	2275.0
446.0	2271.0
447.0	2189.0
448.0	2130.0
449.0	2244.0
450.0	2210.0
451.0	2163.0
452.0	2046.0
453.0	2162.0
454.0	2078.0
455.0	2099.0
456.0	2020.0
457.0	2000.0
458.0	1966.0
459.0	2058.0
460.0	1978.0
461.0	1995.0
462.0	1937.0
463.0	1927.0
464.0	1897.0
465.0	1892.0
466.0	1894.0
467.0	1886.0
468.0	1862.0
469.0	1726.0
470.0	1807.0
471.0	1791.0
472.0	1743.0
473.0	1722.0
474.0	1815.0
475.0	1799.0
476.0	1775.0
477.0	1779.0
478.0	1757.0
479.0	1713.0
480.0	1593.0
481.0	1655.0
482.0	1617.0
483.0	1640.0
484.0	1696.0
485.0	1578.0
486.0	1572.0
487.0	1548.0
488.0	1587.0
489.0	1512.0
490.0	1485.0
491.0	1542.0
492.0	1504.0
493.0	1532.0
494.0	1509.0
495.0	1352.0
496.0	1432.0
497.0	1478.0
498.0	1320.0
499.0	1411.0
500.0	1368.0
501.0	1366.0
502.0	1339.0
503.0	1322.0
504.0	1357.0
505.0	1346.0
506.0	1346.0
507.0	1262.0
508.0	1312.0
509.0	1316.0
510.0	1230.0
511.0	1210.0
512.0	1228.0
513.0	1207.0
514.0	1177.0
515.0	1177.0
516.0	1150.0
517.0	1185.0
518.0	1187.0
519.0	1132.0
520.0	1135.0
521.0	1152.0
522.0	1077.0
523.0	1072.0
524.0	1100.0
525.0	1076.0
526.0	1047.0
527.0	1063.0
528.0	1005.0
529.0	1016.0
530.0	969.0
531.0	930.0
532.0	1032.0
533.0	959.0
534.0	963.0
535.0	977.0
536.0	992.0
537.0	909.0
538.0	882.0
539.0	910.0
540.0	918.0
541.0	880.0
542.0	829.0
543.0	895.0
544.0	873.0
545.0	859.0
546.0	804.0
547.0	828.0
548.0	841.0
549.0	756.0
550.0	782.0
551.0	766.0
552.0	713.0
553.0	748.0
554.0	763.0
555.0	762.0
556.0	706.0
557.0	693.0
558.0	696.0
559.0	695.0
560.0	670.0
561.0	678.0
562.0	666.0
563.0	648.0
564.0	668.0
565.0	622.0
566.0	660.0
567.0	604.0
568.0	615.0
569.0	606.0
570.0	597.0
571.0	569.0
572.0	623.0
573.0	513.0
574.0	568.0
575.0	561.0
576.0	548.0
577.0	503.0
578.0	544.0
579.0	541.0
580.0	535.0
581.0	523.0
582.0	517.0
583.0	519.0
584.0	505.0
585.0	508.0
586.0	514.0
587.0	479.0
588.0	483.0
589.0	485.0
590.0	451.0
591.0	449.0
592.0	434.0
593.0	420.0
594.0	404.0
595.0	411.0
596.0	423.0
597.0	395.0
598.0	403.0
599.0	422.0
600.0	382.0
