#Duplication rate	Coverage
1.0	1754562.0
2.0	658310.0
3.0	236889.0
4.0	112734.0
5.0	53385.0
6.0	29270.0
7.0	16070.0
8.0	9659.0
9.0	5987.0
10.0	4018.0
11.0	2667.0
12.0	2040.0
13.0	1468.0
14.0	1115.0
15.0	865.0
16.0	714.0
17.0	583.0
18.0	495.0
19.0	462.0
20.0	413.0
21.0	363.0
22.0	343.0
23.0	286.0
24.0	300.0
25.0	258.0
26.0	274.0
27.0	215.0
28.0	203.0
29.0	224.0
30.0	191.0
31.0	174.0
32.0	172.0
33.0	147.0
34.0	130.0
35.0	147.0
36.0	142.0
37.0	133.0
38.0	154.0
39.0	90.0
40.0	121.0
41.0	101.0
42.0	117.0
43.0	121.0
44.0	97.0
45.0	89.0
46.0	90.0
47.0	88.0
48.0	90.0
49.0	75.0
50.0	3193.0
