#Insert size (bp)	insert size
140.0	1.0
142.0	1.0
144.0	4.0
145.0	2.0
146.0	6.0
147.0	1.0
148.0	2.0
149.0	29.0
150.0	8261.0
151.0	16266.0
152.0	16118.0
153.0	16234.0
154.0	16442.0
155.0	16516.0
156.0	16542.0
157.0	16338.0
158.0	16233.0
159.0	16394.0
160.0	15971.0
161.0	15977.0
162.0	15925.0
163.0	16380.0
164.0	16233.0
165.0	16284.0
166.0	16456.0
167.0	16383.0
168.0	16298.0
169.0	16356.0
170.0	16113.0
171.0	15895.0
172.0	16078.0
173.0	15856.0
174.0	16027.0
175.0	16309.0
176.0	16123.0
177.0	16168.0
178.0	16312.0
179.0	15903.0
180.0	15855.0
181.0	15791.0
182.0	15675.0
183.0	16000.0
184.0	16152.0
185.0	15685.0
186.0	16198.0
187.0	15909.0
188.0	15837.0
189.0	15908.0
190.0	15696.0
191.0	15520.0
192.0	15417.0
193.0	15548.0
194.0	15776.0
195.0	15683.0
196.0	15585.0
197.0	15782.0
198.0	15644.0
199.0	15329.0
200.0	15649.0
201.0	15300.0
202.0	15481.0
203.0	15228.0
204.0	15095.0
205.0	15309.0
206.0	15464.0
207.0	15249.0
208.0	15242.0
209.0	15289.0
210.0	15223.0
211.0	14652.0
212.0	14959.0
213.0	14857.0
214.0	14548.0
215.0	14654.0
216.0	14513.0
217.0	14645.0
218.0	14828.0
219.0	14695.0
220.0	14619.0
221.0	14220.0
222.0	14336.0
223.0	14030.0
224.0	13973.0
225.0	13866.0
226.0	13972.0
227.0	14034.0
228.0	13988.0
229.0	14020.0
230.0	13745.0
231.0	13738.0
232.0	13572.0
233.0	13508.0
234.0	13274.0
235.0	13136.0
236.0	13199.0
237.0	13135.0
238.0	12934.0
239.0	13127.0
240.0	12845.0
241.0	12870.0
242.0	12455.0
243.0	12766.0
244.0	12435.0
245.0	12174.0
246.0	12093.0
247.0	12046.0
248.0	11928.0
249.0	12013.0
250.0	11980.0
251.0	12164.0
252.0	11677.0
253.0	11583.0
254.0	11499.0
255.0	11184.0
256.0	10767.0
257.0	10630.0
258.0	10664.0
259.0	10402.0
260.0	10495.0
261.0	10095.0
262.0	10175.0
263.0	9649.0
264.0	8986.0
265.0	8233.0
266.0	8078.0
267.0	7597.0
268.0	7769.0
269.0	7788.0
270.0	7636.0
271.0	6728.0
272.0	6869.0
273.0	6894.0
274.0	6730.0
275.0	6683.0
276.0	6743.0
277.0	6672.0
278.0	6783.0
279.0	6812.0
280.0	6612.0
281.0	6732.0
282.0	6593.0
283.0	6440.0
284.0	6613.0
285.0	6493.0
286.0	6627.0
287.0	6553.0
288.0	6626.0
289.0	6441.0
290.0	6271.0
291.0	6412.0
292.0	6338.0
293.0	6377.0
294.0	6495.0
295.0	6313.0
296.0	6265.0
297.0	6141.0
298.0	6088.0
299.0	6101.0
300.0	6058.0
301.0	5980.0
302.0	6076.0
303.0	6086.0
304.0	6024.0
305.0	6092.0
306.0	5885.0
307.0	5917.0
308.0	5877.0
309.0	6056.0
310.0	5938.0
311.0	6067.0
312.0	5882.0
313.0	5898.0
314.0	5798.0
315.0	5756.0
316.0	5695.0
317.0	5803.0
318.0	5631.0
319.0	5734.0
320.0	5628.0
321.0	5589.0
322.0	5640.0
323.0	5606.0
324.0	5469.0
325.0	5435.0
326.0	5424.0
327.0	5419.0
328.0	5512.0
329.0	5507.0
330.0	5466.0
331.0	5276.0
332.0	5156.0
333.0	5217.0
334.0	5217.0
335.0	5237.0
336.0	5364.0
337.0	5152.0
338.0	5100.0
339.0	5025.0
340.0	5214.0
341.0	5171.0
342.0	5148.0
343.0	4989.0
344.0	5047.0
345.0	5084.0
346.0	4901.0
347.0	5041.0
348.0	4902.0
349.0	4915.0
350.0	4875.0
351.0	4901.0
352.0	4834.0
353.0	4833.0
354.0	4873.0
355.0	4915.0
356.0	4723.0
357.0	4785.0
358.0	4600.0
359.0	4693.0
360.0	4616.0
361.0	4611.0
362.0	4556.0
363.0	4502.0
364.0	4661.0
365.0	4558.0
366.0	4548.0
367.0	4455.0
368.0	4494.0
369.0	4463.0
370.0	4291.0
371.0	4355.0
372.0	4314.0
373.0	4353.0
374.0	4291.0
375.0	4221.0
376.0	4212.0
377.0	4167.0
378.0	4193.0
379.0	4028.0
380.0	4109.0
381.0	4117.0
382.0	3989.0
383.0	3904.0
384.0	4015.0
385.0	4033.0
386.0	3961.0
387.0	3954.0
388.0	3887.0
389.0	3867.0
390.0	3885.0
391.0	3899.0
392.0	3796.0
393.0	3772.0
394.0	3811.0
395.0	3824.0
396.0	3741.0
397.0	3726.0
398.0	3728.0
399.0	3612.0
400.0	3722.0
401.0	3576.0
402.0	3559.0
403.0	3543.0
404.0	3522.0
405.0	3459.0
406.0	3545.0
407.0	3353.0
408.0	3366.0
409.0	3341.0
410.0	3309.0
411.0	3273.0
412.0	3276.0
413.0	3303.0
414.0	3184.0
415.0	3153.0
416.0	3163.0
417.0	3267.0
418.0	3326.0
419.0	3156.0
420.0	3152.0
421.0	3069.0
422.0	2998.0
423.0	3117.0
424.0	3068.0
425.0	2888.0
426.0	3177.0
427.0	2949.0
428.0	2904.0
429.0	2910.0
430.0	3002.0
431.0	2834.0
432.0	2879.0
433.0	2831.0
434.0	2725.0
435.0	2815.0
436.0	2764.0
437.0	2808.0
438.0	2723.0
439.0	2687.0
440.0	2739.0
441.0	2683.0
442.0	2710.0
443.0	2633.0
444.0	2703.0
445.0	2461.0
446.0	2612.0
447.0	2492.0
448.0	2531.0
449.0	2561.0
450.0	2543.0
451.0	2500.0
452.0	2418.0
453.0	2463.0
454.0	2529.0
455.0	2360.0
456.0	2391.0
457.0	2406.0
458.0	2399.0
459.0	2372.0
460.0	2367.0
461.0	2274.0
462.0	2229.0
463.0	2262.0
464.0	2194.0
465.0	2236.0
466.0	2273.0
467.0	2290.0
468.0	2188.0
469.0	2179.0
470.0	2123.0
471.0	2131.0
472.0	2166.0
473.0	2084.0
474.0	2048.0
475.0	2113.0
476.0	2036.0
477.0	2051.0
478.0	1992.0
479.0	2031.0
480.0	1951.0
481.0	1979.0
482.0	1959.0
483.0	1877.0
484.0	1889.0
485.0	1840.0
486.0	1834.0
487.0	1825.0
488.0	1749.0
489.0	1843.0
490.0	1803.0
491.0	1660.0
492.0	1717.0
493.0	1628.0
494.0	1663.0
495.0	1611.0
496.0	1589.0
497.0	1668.0
498.0	1577.0
499.0	1682.0
500.0	1554.0
501.0	1610.0
502.0	1489.0
503.0	1549.0
504.0	1624.0
505.0	1522.0
506.0	1471.0
507.0	1433.0
508.0	1535.0
509.0	1509.0
510.0	1427.0
511.0	1462.0
512.0	1417.0
513.0	1488.0
514.0	1432.0
515.0	1398.0
516.0	1340.0
517.0	1425.0
518.0	1326.0
519.0	1295.0
520.0	1332.0
521.0	1325.0
522.0	1242.0
523.0	1300.0
524.0	1208.0
525.0	1276.0
526.0	1287.0
527.0	1183.0
528.0	1228.0
529.0	1196.0
530.0	1239.0
531.0	1117.0
532.0	1168.0
533.0	1111.0
534.0	1116.0
535.0	1166.0
536.0	1084.0
537.0	1166.0
538.0	1114.0
539.0	1058.0
540.0	1056.0
541.0	1001.0
542.0	1057.0
543.0	968.0
544.0	1001.0
545.0	932.0
546.0	1019.0
547.0	1045.0
548.0	906.0
549.0	972.0
550.0	893.0
551.0	864.0
552.0	931.0
553.0	901.0
554.0	860.0
555.0	866.0
556.0	814.0
557.0	819.0
558.0	824.0
559.0	832.0
560.0	818.0
561.0	831.0
562.0	829.0
563.0	781.0
564.0	778.0
565.0	751.0
566.0	772.0
567.0	693.0
568.0	697.0
569.0	752.0
570.0	742.0
571.0	727.0
572.0	695.0
573.0	712.0
574.0	678.0
575.0	653.0
576.0	627.0
577.0	660.0
578.0	631.0
579.0	643.0
580.0	632.0
581.0	584.0
582.0	568.0
583.0	605.0
584.0	606.0
585.0	575.0
586.0	569.0
587.0	586.0
588.0	543.0
589.0	576.0
590.0	564.0
591.0	566.0
592.0	532.0
593.0	445.0
594.0	488.0
595.0	510.0
596.0	463.0
597.0	470.0
598.0	468.0
599.0	492.0
600.0	423.0
601.0	454.0
602.0	454.0
603.0	418.0
604.0	419.0
605.0	460.0
606.0	434.0
607.0	463.0
608.0	417.0
609.0	432.0
610.0	369.0
611.0	353.0
612.0	406.0
613.0	361.0
614.0	408.0
615.0	342.0
616.0	353.0
617.0	360.0
618.0	363.0
619.0	325.0
620.0	316.0
621.0	348.0
622.0	318.0
623.0	312.0
624.0	311.0
625.0	295.0
626.0	290.0
627.0	302.0
628.0	299.0
629.0	288.0
630.0	300.0
631.0	316.0
632.0	274.0
633.0	269.0
634.0	258.0
635.0	237.0
636.0	237.0
637.0	266.0
638.0	261.0
639.0	249.0
640.0	249.0
641.0	251.0
642.0	202.0
643.0	218.0
644.0	257.0
645.0	220.0
646.0	189.0
647.0	213.0
648.0	210.0
649.0	206.0
650.0	199.0
651.0	210.0
652.0	224.0
653.0	209.0
654.0	180.0
655.0	207.0
656.0	185.0
657.0	181.0
658.0	162.0
659.0	156.0
660.0	198.0
