#Mapping quality	mapping quality
0.0	233912.0
1.0	137557.0
2.0	44196.0
3.0	31353.0
4.0	25347.0
5.0	22215.0
6.0	21963.0
7.0	22022.0
8.0	24596.0
9.0	29568.0
10.0	37666.0
11.0	27813.0
12.0	20258.0
13.0	17295.0
14.0	18573.0
15.0	18415.0
16.0	19267.0
17.0	18425.0
18.0	18742.0
19.0	17494.0
20.0	17881.0
21.0	17327.0
22.0	16635.0
23.0	16063.0
24.0	15878.0
25.0	14635.0
26.0	14279.0
27.0	15716.0
28.0	15128.0
29.0	15885.0
30.0	15714.0
31.0	17302.0
32.0	20128.0
33.0	21727.0
34.0	26210.0
35.0	30930.0
36.0	41136.0
37.0	61161.0
38.0	113933.0
39.0	274208.0
40.0	799230.0
41.0	2152657.0
42.0	4127039.0
43.0	3441784.0
44.0	39624.0
