#Duplication rate	Coverage
1.0	1936999.0
2.0	648262.0
3.0	244604.0
4.0	108892.0
5.0	52219.0
6.0	27002.0
7.0	14680.0
8.0	8968.0
9.0	5380.0
10.0	3488.0
11.0	2293.0
12.0	1645.0
13.0	1228.0
14.0	900.0
15.0	719.0
16.0	621.0
17.0	481.0
18.0	402.0
19.0	385.0
20.0	338.0
21.0	296.0
22.0	280.0
23.0	249.0
24.0	232.0
25.0	178.0
26.0	214.0
27.0	177.0
28.0	191.0
29.0	165.0
30.0	175.0
31.0	156.0
32.0	147.0
33.0	154.0
34.0	131.0
35.0	123.0
36.0	137.0
37.0	112.0
38.0	112.0
39.0	111.0
40.0	136.0
41.0	103.0
42.0	104.0
43.0	86.0
44.0	92.0
45.0	88.0
46.0	80.0
47.0	70.0
48.0	82.0
49.0	61.0
50.0	2894.0
