#Insert size (bp)	insert size
141.0	1.0
143.0	1.0
144.0	3.0
145.0	2.0
146.0	3.0
147.0	4.0
148.0	2.0
149.0	22.0
150.0	6794.0
151.0	13506.0
152.0	13524.0
153.0	13770.0
154.0	13712.0
155.0	13713.0
156.0	13939.0
157.0	13549.0
158.0	13569.0
159.0	13546.0
160.0	13376.0
161.0	13384.0
162.0	13369.0
163.0	13635.0
164.0	13486.0
165.0	13549.0
166.0	13472.0
167.0	13510.0
168.0	13417.0
169.0	13470.0
170.0	13222.0
171.0	13401.0
172.0	13344.0
173.0	13348.0
174.0	13480.0
175.0	13258.0
176.0	13451.0
177.0	13496.0
178.0	13452.0
179.0	13314.0
180.0	13196.0
181.0	13109.0
182.0	13129.0
183.0	13286.0
184.0	13128.0
185.0	13159.0
186.0	13207.0
187.0	13026.0
188.0	13256.0
189.0	13305.0
190.0	13324.0
191.0	12879.0
192.0	13088.0
193.0	12698.0
194.0	12826.0
195.0	13103.0
196.0	12921.0
197.0	13216.0
198.0	12803.0
199.0	12711.0
200.0	12842.0
201.0	12684.0
202.0	12634.0
203.0	12264.0
204.0	12561.0
205.0	12625.0
206.0	12416.0
207.0	12462.0
208.0	12667.0
209.0	12355.0
210.0	12636.0
211.0	12270.0
212.0	12284.0
213.0	12225.0
214.0	12208.0
215.0	12114.0
216.0	12170.0
217.0	11961.0
218.0	12044.0
219.0	12378.0
220.0	12098.0
221.0	11923.0
222.0	12034.0
223.0	11582.0
224.0	11462.0
225.0	11587.0
226.0	12022.0
227.0	11811.0
228.0	11585.0
229.0	11824.0
230.0	11662.0
231.0	11585.0
232.0	11508.0
233.0	11356.0
234.0	11130.0
235.0	11212.0
236.0	11347.0
237.0	10923.0
238.0	11109.0
239.0	11051.0
240.0	10961.0
241.0	11164.0
242.0	11015.0
243.0	11045.0
244.0	10870.0
245.0	10659.0
246.0	10734.0
247.0	10879.0
248.0	10593.0
249.0	10802.0
250.0	10789.0
251.0	10510.0
252.0	10435.0
253.0	10392.0
254.0	10488.0
255.0	10375.0
256.0	10204.0
