#Mapping quality	mapping quality
0.0	161199.0
1.0	202323.0
2.0	41538.0
3.0	29816.0
4.0	24806.0
5.0	21482.0
6.0	20606.0
7.0	20720.0
8.0	22874.0
9.0	28148.0
10.0	40329.0
11.0	32556.0
12.0	19330.0
13.0	17808.0
14.0	17463.0
15.0	16038.0
16.0	16893.0
17.0	18570.0
18.0	17692.0
19.0	18001.0
20.0	19774.0
21.0	17551.0
22.0	19418.0
23.0	16748.0
24.0	15717.0
25.0	15322.0
26.0	14283.0
27.0	14090.0
28.0	14793.0
29.0	15785.0
30.0	14985.0
31.0	15805.0
32.0	15627.0
33.0	16911.0
34.0	17901.0
35.0	21446.0
36.0	25152.0
37.0	28818.0
38.0	36712.0
39.0	52268.0
40.0	94715.0
41.0	311394.0
42.0	2039903.0
43.0	8382052.0
44.0	115338.0
