#Duplication rate	Coverage
1.0	1399345.0
2.0	452083.0
3.0	147782.0
4.0	67673.0
5.0	31331.0
6.0	17393.0
7.0	9688.0
8.0	6372.0
9.0	4197.0
10.0	3059.0
11.0	2096.0
12.0	1658.0
13.0	1333.0
14.0	1082.0
15.0	882.0
16.0	732.0
17.0	656.0
18.0	549.0
19.0	475.0
20.0	440.0
21.0	402.0
22.0	383.0
23.0	336.0
24.0	274.0
25.0	277.0
26.0	235.0
27.0	261.0
28.0	218.0
29.0	211.0
30.0	203.0
31.0	180.0
32.0	163.0
33.0	140.0
34.0	132.0
35.0	140.0
36.0	125.0
37.0	106.0
38.0	88.0
39.0	121.0
40.0	87.0
41.0	76.0
42.0	78.0
43.0	74.0
44.0	56.0
45.0	65.0
46.0	75.0
47.0	59.0
48.0	70.0
49.0	62.0
50.0	1637.0
