#Insert size (bp)	insert size
135.0	1.0
139.0	1.0
143.0	1.0
145.0	1.0
146.0	2.0
147.0	2.0
148.0	10.0
149.0	26.0
150.0	4809.0
151.0	9596.0
152.0	9766.0
153.0	9719.0
154.0	10014.0
155.0	9920.0
156.0	10031.0
157.0	9548.0
158.0	9574.0
159.0	9679.0
160.0	9507.0
161.0	9631.0
162.0	9603.0
163.0	9644.0
164.0	9700.0
165.0	9838.0
166.0	10009.0
167.0	9957.0
168.0	9587.0
169.0	9890.0
170.0	9406.0
171.0	9564.0
172.0	9265.0
173.0	9503.0
174.0	9824.0
175.0	9677.0
176.0	9868.0
177.0	9572.0
178.0	9801.0
179.0	9474.0
180.0	9732.0
181.0	9566.0
182.0	9333.0
183.0	9771.0
184.0	9483.0
185.0	9470.0
186.0	9454.0
187.0	9513.0
188.0	9676.0
189.0	9563.0
190.0	9525.0
191.0	9391.0
192.0	9335.0
193.0	9228.0
194.0	9314.0
195.0	9366.0
196.0	9504.0
197.0	9475.0
198.0	9625.0
199.0	9390.0
200.0	9427.0
201.0	9308.0
202.0	9197.0
203.0	9125.0
204.0	9093.0
205.0	9240.0
206.0	9352.0
207.0	9388.0
208.0	9446.0
209.0	9316.0
210.0	9349.0
211.0	9231.0
212.0	9118.0
213.0	8872.0
214.0	9012.0
215.0	8832.0
216.0	9023.0
217.0	8912.0
218.0	9118.0
219.0	8960.0
220.0	9259.0
221.0	8866.0
222.0	9126.0
223.0	8670.0
224.0	8454.0
225.0	8710.0
226.0	8551.0
227.0	8700.0
228.0	8576.0
229.0	9015.0
230.0	8733.0
231.0	8731.0
232.0	8572.0
233.0	8363.0
234.0	8326.0
235.0	8215.0
236.0	8165.0
237.0	8210.0
238.0	8110.0
239.0	8407.0
240.0	8318.0
241.0	8409.0
242.0	8178.0
243.0	8137.0
244.0	8134.0
245.0	7807.0
246.0	7499.0
247.0	7885.0
248.0	7642.0
249.0	7807.0
250.0	7786.0
251.0	7832.0
252.0	7723.0
253.0	7478.0
254.0	7361.0
255.0	7234.0
256.0	7166.0
257.0	6847.0
258.0	6960.0
259.0	6860.0
260.0	7041.0
261.0	6847.0
262.0	6892.0
263.0	6594.0
264.0	5975.0
265.0	5371.0
266.0	4942.0
267.0	4982.0
268.0	4966.0
269.0	4975.0
270.0	4928.0
271.0	4242.0
272.0	4458.0
273.0	4241.0
274.0	4266.0
275.0	4326.0
276.0	4399.0
277.0	4396.0
278.0	4380.0
279.0	4206.0
280.0	4360.0
281.0	4240.0
282.0	4341.0
283.0	4228.0
284.0	4437.0
285.0	4306.0
286.0	4332.0
287.0	4200.0
288.0	4211.0
289.0	4092.0
290.0	4055.0
291.0	4160.0
292.0	4248.0
293.0	4048.0
294.0	4067.0
295.0	4125.0
296.0	4117.0
297.0	4086.0
298.0	4062.0
299.0	4136.0
300.0	4128.0
301.0	4107.0
302.0	4079.0
303.0	4113.0
304.0	4077.0
305.0	3948.0
306.0	3976.0
307.0	4017.0
308.0	4018.0
309.0	4063.0
310.0	3966.0
311.0	3971.0
312.0	3966.0
313.0	3981.0
314.0	4070.0
315.0	3984.0
316.0	3969.0
317.0	3918.0
318.0	3765.0
319.0	4003.0
320.0	3863.0
321.0	3928.0
322.0	3838.0
323.0	3891.0
324.0	3866.0
325.0	3841.0
