#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	1.8802894893697834E-6
6.0	0.0
7.0	5.64086846810935E-6
8.0	1.8802894893697835E-5
9.0	2.068318438306762E-5
10.0	4.51269477448748E-5
11.0	7.333129008542155E-5
12.0	1.1281736936218702E-4
13.0	2.25634738724374E-4
14.0	3.0836747625664446E-4
15.0	4.2306513510820124E-4
16.0	5.659671363003047E-4
17.0	8.705740335782096E-4
18.0	0.0010040745873234644
19.0	0.001325604090005697
20.0	0.0015399570917938527
21.0	0.00182388080468869
22.0	0.0022995940454992453
23.0	0.0029144487085231647
24.0	0.0037267337679309106
25.0	0.004830463698190974
26.0	0.0050937042267027435
27.0	0.0072898823502866505
28.0	0.00928863007748673
29.0	0.012829215185970032
30.0	0.017020380457775278
31.0	0.021939217761966633
32.0	0.02867253442339982
33.0	0.03559388003377
34.0	0.043806984523337214
35.0	0.051914792801499715
36.0	0.058772208569231314
37.0	0.06512946733279056
38.0	0.06862868607250772
39.0	0.069657204423193
40.0	0.06886560254816831
41.0	0.06530997512377004
42.0	0.06050207489945152
43.0	0.05327612239180344
44.0	0.047146378656457946
45.0	0.0396139389620426
46.0	0.03260045916669331
47.0	0.026322172561687597
48.0	0.021226588045495483
49.0	0.01666312545479502
50.0	0.013457231875419539
51.0	0.011969922889328041
52.0	0.007709186906416111
53.0	0.005793171916748303
54.0	0.004018178638783227
55.0	0.0025797571794153426
56.0	0.0016490138821773001
57.0	0.0011751809308561145
58.0	7.257917428967364E-4
59.0	5.189598990660603E-4
60.0	4.193045561294617E-4
61.0	2.5195879157555097E-4
62.0	1.2597939578777549E-4
63.0	6.76904216173122E-5
64.0	6.204955314920285E-5
65.0	3.948607927676545E-5
66.0	3.196492131928632E-5
67.0	2.632405285117697E-5
68.0	1.692260540432805E-5
69.0	5.64086846810935E-6
70.0	9.401447446848917E-6
71.0	3.7605789787395667E-6
72.0	3.7605789787395667E-6
73.0	1.8802894893697834E-6
74.0	3.7605789787395667E-6
75.0	5.64086846810935E-6
76.0	5.64086846810935E-6
77.0	0.0
78.0	0.0
79.0	1.8802894893697834E-6
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	1.8802894893697834E-6
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.8802894893697835E-5
