#Mapping quality	mapping quality
0.0	193809.0
1.0	159946.0
2.0	46376.0
3.0	32843.0
4.0	27474.0
5.0	22659.0
6.0	20776.0
7.0	22755.0
8.0	24933.0
9.0	29502.0
10.0	34812.0
11.0	30533.0
12.0	21998.0
13.0	17806.0
14.0	17253.0
15.0	17750.0
16.0	17722.0
17.0	18798.0
18.0	18058.0
19.0	17661.0
20.0	17087.0
21.0	16905.0
22.0	17509.0
23.0	15101.0
24.0	15376.0
25.0	14583.0
26.0	14856.0
27.0	15285.0
28.0	16343.0
29.0	15838.0
30.0	16231.0
31.0	17726.0
32.0	18941.0
33.0	19848.0
34.0	22275.0
35.0	27593.0
36.0	36878.0
37.0	58425.0
38.0	120825.0
39.0	295086.0
40.0	765825.0
41.0	1828911.0
42.0	3284233.0
43.0	4435324.0
44.0	243821.0
