#Coverage (X)	Coverage
1.0	0.02976037469446169
2.0	0.008562893879741296
3.0	0.001332554090780036
4.0	0.001332554090780036
5.0	0.001332554090780036
6.0	0.001332554090780036
7.0	0.001332554090780036
8.0	0.001332554090780036
9.0	0.001332554090780036
10.0	0.0012338463803445165
11.0	9.294976065206129E-4
12.0	9.294976065206129E-4
13.0	9.294976065206129E-4
14.0	7.814360408815446E-4
15.0	6.580514028513562E-4
16.0	6.580514028513562E-4
17.0	2.632205611377003E-4
18.0	2.632205611377003E-4
19.0	2.1386670591994061E-4
20.0	2.1386670591994061E-4
21.0	2.0564106338838428E-4
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
