#Insert size (bp)	insert size
129.0	2.0
135.0	1.0
139.0	1.0
140.0	3.0
141.0	1.0
144.0	1.0
145.0	2.0
146.0	1.0
147.0	5.0
148.0	13.0
149.0	42.0
150.0	7993.0
151.0	15793.0
152.0	15817.0
153.0	16182.0
154.0	15937.0
155.0	16029.0
156.0	16236.0
157.0	15760.0
158.0	15926.0
159.0	15877.0
160.0	15766.0
161.0	15649.0
162.0	15771.0
163.0	15863.0
164.0	15737.0
165.0	15768.0
166.0	16145.0
167.0	16040.0
168.0	16029.0
169.0	15553.0
170.0	15666.0
171.0	15720.0
172.0	15314.0
173.0	15580.0
174.0	15966.0
175.0	15680.0
176.0	15498.0
177.0	16120.0
178.0	15902.0
179.0	15566.0
180.0	15938.0
181.0	15411.0
182.0	15496.0
183.0	15715.0
184.0	15592.0
185.0	15463.0
186.0	15693.0
187.0	15632.0
188.0	16077.0
189.0	15588.0
190.0	15710.0
191.0	15064.0
192.0	15198.0
193.0	15155.0
194.0	15224.0
195.0	15421.0
196.0	15374.0
197.0	15434.0
198.0	15444.0
199.0	15304.0
200.0	15495.0
201.0	15312.0
202.0	15077.0
203.0	14991.0
204.0	14844.0
205.0	14938.0
206.0	15227.0
207.0	15100.0
208.0	15079.0
209.0	15048.0
210.0	15176.0
211.0	14907.0
212.0	15025.0
213.0	14527.0
214.0	14617.0
215.0	14491.0
216.0	14667.0
217.0	14577.0
218.0	14580.0
219.0	14610.0
220.0	14717.0
221.0	14139.0
222.0	14329.0
223.0	13992.0
224.0	13841.0
225.0	13807.0
226.0	13891.0
227.0	14013.0
228.0	13913.0
229.0	14116.0
230.0	13830.0
231.0	13761.0
232.0	13370.0
233.0	13361.0
234.0	13064.0
235.0	13007.0
236.0	13256.0
237.0	12906.0
238.0	12919.0
239.0	13023.0
240.0	12991.0
241.0	13074.0
242.0	12713.0
243.0	12459.0
244.0	12352.0
245.0	12488.0
246.0	11724.0
247.0	11978.0
248.0	11883.0
249.0	11965.0
250.0	12156.0
251.0	11932.0
252.0	11675.0
253.0	11530.0
254.0	11479.0
255.0	11061.0
256.0	10896.0
257.0	10716.0
258.0	10485.0
259.0	10598.0
260.0	10476.0
261.0	10188.0
262.0	10179.0
263.0	9520.0
264.0	8964.0
265.0	8010.0
266.0	7543.0
267.0	7326.0
268.0	7338.0
269.0	7100.0
270.0	7173.0
271.0	6093.0
272.0	6268.0
273.0	6031.0
274.0	6195.0
275.0	6116.0
276.0	6042.0
277.0	6149.0
278.0	6128.0
279.0	5878.0
280.0	5975.0
281.0	6116.0
282.0	5988.0
283.0	5927.0
284.0	5954.0
285.0	5870.0
286.0	5885.0
287.0	5905.0
288.0	5752.0
289.0	5782.0
290.0	5938.0
291.0	5734.0
292.0	5813.0
293.0	5668.0
294.0	5680.0
295.0	5629.0
296.0	5762.0
297.0	5660.0
298.0	5594.0
299.0	5567.0
300.0	5446.0
301.0	5421.0
302.0	5401.0
303.0	5460.0
304.0	5561.0
305.0	5490.0
306.0	5434.0
307.0	5405.0
308.0	5420.0
309.0	5266.0
310.0	5453.0
311.0	5325.0
312.0	5327.0
313.0	5321.0
314.0	5225.0
315.0	5326.0
316.0	5211.0
317.0	5235.0
318.0	5114.0
319.0	5113.0
320.0	5058.0
321.0	5074.0
322.0	4998.0
323.0	5039.0
324.0	4916.0
325.0	4981.0
326.0	4910.0
327.0	4964.0
328.0	5086.0
329.0	4968.0
330.0	5101.0
331.0	4895.0
332.0	4860.0
333.0	4828.0
334.0	4750.0
335.0	4815.0
336.0	4781.0
337.0	4814.0
338.0	4728.0
339.0	4812.0
340.0	4702.0
341.0	4540.0
342.0	4630.0
343.0	4617.0
344.0	4516.0
345.0	4617.0
346.0	4408.0
347.0	4616.0
348.0	4485.0
349.0	4649.0
350.0	4430.0
351.0	4444.0
352.0	4305.0
353.0	4262.0
354.0	4381.0
355.0	4380.0
356.0	4377.0
357.0	4312.0
358.0	4208.0
359.0	4235.0
360.0	4250.0
361.0	4137.0
362.0	4074.0
363.0	4068.0
364.0	4182.0
365.0	4189.0
366.0	4080.0
367.0	4136.0
368.0	4212.0
369.0	4002.0
370.0	3865.0
371.0	4094.0
372.0	3952.0
373.0	3953.0
374.0	3802.0
375.0	3901.0
376.0	3867.0
377.0	3753.0
378.0	3816.0
379.0	3712.0
380.0	3719.0
381.0	3845.0
382.0	3674.0
383.0	3719.0
