#Duplication rate	Coverage
1.0	1911136.0
2.0	804135.0
3.0	329467.0
4.0	169375.0
5.0	88508.0
6.0	51511.0
7.0	30528.0
8.0	19251.0
9.0	12390.0
10.0	8337.0
11.0	5664.0
12.0	4020.0
13.0	2917.0
14.0	2220.0
15.0	1690.0
16.0	1333.0
17.0	1014.0
18.0	833.0
19.0	716.0
20.0	590.0
21.0	486.0
22.0	412.0
23.0	371.0
24.0	304.0
25.0	276.0
26.0	266.0
27.0	261.0
28.0	214.0
29.0	193.0
30.0	185.0
31.0	181.0
32.0	158.0
33.0	153.0
34.0	154.0
35.0	135.0
36.0	131.0
37.0	124.0
38.0	115.0
39.0	98.0
40.0	101.0
41.0	85.0
42.0	89.0
43.0	76.0
44.0	64.0
45.0	78.0
46.0	63.0
47.0	66.0
48.0	54.0
49.0	73.0
50.0	2320.0
