#Coverage (X)	Coverage
1.0	99.2459718000297
2.0	99.24040304003297
3.0	99.22770264795771
4.0	99.21877782580638
5.0	99.20435004879863
6.0	99.18543107096632
7.0	99.16012899452625
8.0	99.13211245604937
9.0	99.09681622392831
10.0	99.05354111854754
11.0	99.00339760164941
12.0	98.94405781639625
13.0	98.87302939309976
14.0	98.78619951049201
15.0	98.68794421040207
16.0	98.57444679469332
17.0	98.45357920327248
18.0	98.31438488028195
19.0	98.16032682122923
20.0	97.98762945619043
21.0	97.80325167875083
22.0	97.59473164046868
23.0	97.36749826541764
24.0	97.12283475383325
25.0	96.85979515682394
26.0	96.5698823856502
27.0	96.2557697741362
28.0	95.92812598065082
29.0	95.56922474552947
30.0	95.19294272773
31.0	94.78497553488269
32.0	94.34969098317404
33.0	93.881100804838
34.0	93.38798176046024
35.0	92.8671423007369
36.0	92.30960002401888
37.0	91.72878740456713
38.0	91.11280193763236
39.0	90.46493388022888
40.0	89.78481307844261
41.0	89.0537508724322
42.0	88.27507864742469
43.0	87.46350385227404
44.0	86.6076586489958
45.0	85.70782270943617
46.0	84.75629683218168
47.0	83.77657345231451
48.0	82.752522084822
49.0	81.6751685536976
50.0	80.5631932931401
51.0	79.42051993463905
