#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	1.0290045512871303E-6
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	1.0290045512871303E-6
11.0	2.0580091025742606E-6
12.0	2.0580091025742606E-6
13.0	3.0870136538613907E-6
14.0	4.116018205148521E-6
15.0	4.116018205148521E-6
16.0	7.203031859009912E-6
17.0	1.7493077371881214E-5
18.0	1.5435068269306953E-5
19.0	2.5725113782178254E-5
20.0	3.498615474376243E-5
21.0	6.276927762851494E-5
22.0	9.363941416712887E-5
23.0	1.862498237829706E-4
24.0	3.0046932897584205E-4
25.0	5.741845396182188E-4
26.0	8.160006091706944E-4
27.0	0.0015218977313536655
28.0	0.0028770967253988165
29.0	0.004602737357907334
30.0	0.007895551922026152
31.0	0.012264705246791305
32.0	0.018293642912782602
33.0	0.02625916714429628
34.0	0.035464641860110946
35.0	0.045324563470544234
36.0	0.05607560302239217
37.0	0.06495488329544881
38.0	0.07150552626894269
39.0	0.07546410677774429
40.0	0.0766536360390322
41.0	0.07527888595851259
42.0	0.07049710180868128
43.0	0.06456489057051099
44.0	0.05680722525835732
45.0	0.04830353164652047
46.0	0.04024025198263453
47.0	0.03275218586291807
48.0	0.026452619999938257
49.0	0.020827052118051515
50.0	0.01712880976072557
51.0	0.015233383377254679
52.0	0.00947404490370061
53.0	0.007235960004651099
54.0	0.004702550799382186
55.0	0.0031240578177077274
56.0	0.002027138966035647
57.0	0.0013006617528269328
58.0	8.962629641710904E-4
59.0	5.741845396182189E-4
60.0	4.208628614764363E-4
61.0	2.92237292565545E-4
62.0	2.037429011548518E-4
63.0	1.0907448243643582E-4
64.0	7.717534134653478E-5
65.0	4.321819115405948E-5
66.0	3.910217294891095E-5
67.0	2.4696109230891126E-5
68.0	1.5435068269306956E-5
69.0	1.0290045512871303E-6
70.0	4.116018205148521E-6
71.0	4.116018205148521E-6
72.0	4.116018205148521E-6
73.0	8.232036410297042E-6
74.0	1.0290045512871303E-6
75.0	3.087013653861391E-6
76.0	1.0290045512871303E-6
77.0	0.0
78.0	1.0290045512871303E-6
79.0	1.0290045512871303E-6
80.0	3.087013653861391E-6
81.0	0.0
82.0	0.0
83.0	0.0
84.0	2.0580091025742606E-6
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	1.0290045512871303E-6
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	1.0290045512871303E-6
98.0	0.0
99.0	0.0
100.0	8.232036410297042E-6
