#Mapping quality	mapping quality
0.0	247078.0
1.0	132951.0
2.0	43179.0
3.0	29014.0
4.0	25978.0
5.0	22363.0
6.0	21753.0
7.0	21518.0
8.0	24418.0
9.0	31106.0
10.0	38078.0
11.0	26636.0
12.0	20739.0
13.0	17070.0
14.0	16942.0
15.0	17722.0
16.0	18628.0
17.0	18411.0
18.0	18239.0
19.0	17415.0
20.0	17489.0
21.0	17148.0
22.0	18518.0
23.0	14430.0
24.0	13530.0
25.0	14845.0
26.0	14219.0
27.0	14280.0
28.0	14178.0
29.0	14429.0
30.0	15524.0
31.0	14938.0
32.0	17643.0
33.0	19975.0
34.0	23870.0
35.0	31438.0
36.0	46505.0
37.0	72052.0
38.0	135549.0
39.0	295001.0
40.0	786005.0
41.0	2156510.0
42.0	4322829.0
43.0	3131276.0
44.0	34018.0
