#Duplication rate	Coverage
1.0	1793088.0
2.0	671295.0
3.0	248073.0
4.0	117186.0
5.0	56519.0
6.0	30511.0
7.0	16721.0
8.0	10286.0
9.0	6228.0
10.0	4243.0
11.0	2747.0
12.0	1989.0
13.0	1514.0
14.0	1051.0
15.0	831.0
16.0	749.0
17.0	587.0
18.0	544.0
19.0	416.0
20.0	390.0
21.0	336.0
22.0	321.0
23.0	259.0
24.0	248.0
25.0	207.0
26.0	214.0
27.0	200.0
28.0	184.0
29.0	171.0
30.0	179.0
31.0	146.0
32.0	145.0
33.0	137.0
34.0	122.0
35.0	130.0
36.0	133.0
37.0	112.0
38.0	87.0
39.0	87.0
40.0	76.0
41.0	82.0
42.0	86.0
43.0	75.0
44.0	73.0
45.0	79.0
46.0	76.0
47.0	66.0
48.0	57.0
49.0	69.0
50.0	1948.0
