#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	5.164042257357792E-6
6.0	1.291010564339448E-6
7.0	5.164042257357792E-6
8.0	1.5492126772073375E-5
9.0	2.3238190158110067E-5
10.0	3.0984253544146744E-5
11.0	3.356627467282564E-5
12.0	5.6804464830935706E-5
13.0	6.584153878131185E-5
14.0	9.037073950376134E-5
15.0	1.019898345828164E-4
16.0	1.4201116207733928E-4
17.0	1.9623360577959609E-4
18.0	2.6078413399656847E-4
19.0	2.814403030259996E-4
20.0	4.131233805886234E-4
21.0	4.415256130040912E-4
22.0	6.66161451199155E-4
23.0	0.0010005331873630722
24.0	0.0012845555115177506
25.0	0.0020824000402795296
26.0	0.0025445818223130525
27.0	0.004127360774193216
28.0	0.006387920272351588
29.0	0.009304313137194401
30.0	0.013620161453781176
31.0	0.019276078736152297
32.0	0.026365017744940208
33.0	0.034467400046734584
34.0	0.0430655304052353
35.0	0.052537674915793836
36.0	0.06053419435131237
37.0	0.06804142078294627
38.0	0.07176469525050122
39.0	0.07330745287488688
40.0	0.07266840264553885
41.0	0.06921236736480216
42.0	0.06381465219529892
43.0	0.05683803110560854
44.0	0.04958642476571386
45.0	0.04169576819647115
46.0	0.03450613036366477
47.0	0.027803203513614348
48.0	0.021949761614899296
49.0	0.01711363604088372
50.0	0.014146893764031672
51.0	0.012784877618653554
52.0	0.007886783537549688
53.0	0.005958013754426553
54.0	0.0038833597775330595
55.0	0.002544581822313052
56.0	0.0016073081526026128
57.0	0.001190311740320971
58.0	7.268389477231092E-4
59.0	4.72509866548238E-4
60.0	3.795571059157977E-4
61.0	2.3883695440279787E-4
62.0	1.536302571563943E-4
63.0	9.424377119677971E-5
64.0	6.584153878131185E-5
65.0	4.002132749452288E-5
66.0	2.4529200722449507E-5
67.0	2.452920072244951E-5
68.0	1.1619095079055032E-5
69.0	7.746063386036688E-6
70.0	3.873031693018344E-6
71.0	2.582021128678896E-6
72.0	3.873031693018344E-6
73.0	3.873031693018344E-6
74.0	1.291010564339448E-6
75.0	2.582021128678896E-6
76.0	0.0
77.0	0.0
78.0	0.0
79.0	2.582021128678896E-6
80.0	0.0
81.0	0.0
82.0	1.291010564339448E-6
83.0	0.0
84.0	1.291010564339448E-6
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	3.873031693018344E-6
