#Mapping quality	mapping quality
0.0	221482.0
1.0	164957.0
2.0	41762.0
3.0	28964.0
4.0	23795.0
5.0	21060.0
6.0	20340.0
7.0	20124.0
8.0	23451.0
9.0	28569.0
10.0	37010.0
11.0	29796.0
12.0	20393.0
13.0	16314.0
14.0	17563.0
15.0	17640.0
16.0	17975.0
17.0	18354.0
18.0	18756.0
19.0	19383.0
20.0	17628.0
21.0	18283.0
22.0	18703.0
23.0	15800.0
24.0	15877.0
25.0	14862.0
26.0	13743.0
27.0	13970.0
28.0	13781.0
29.0	14950.0
30.0	16221.0
31.0	16772.0
32.0	17329.0
33.0	18737.0
34.0	22260.0
35.0	25714.0
36.0	32932.0
37.0	41727.0
38.0	59420.0
39.0	119777.0
40.0	359413.0
41.0	1361892.0
42.0	4180982.0
43.0	4852250.0
44.0	57989.0
