#Duplication rate	Coverage
1.0	1850950.0
2.0	772096.0
3.0	299960.0
4.0	152365.0
5.0	76686.0
6.0	43359.0
7.0	25064.0
8.0	15313.0
9.0	9763.0
10.0	6310.0
11.0	4366.0
12.0	2929.0
13.0	2190.0
14.0	1545.0
15.0	1180.0
16.0	993.0
17.0	711.0
18.0	607.0
19.0	555.0
20.0	456.0
21.0	370.0
22.0	354.0
23.0	265.0
24.0	256.0
25.0	210.0
26.0	209.0
27.0	184.0
28.0	204.0
29.0	147.0
30.0	188.0
31.0	136.0
32.0	143.0
33.0	115.0
34.0	120.0
35.0	106.0
36.0	115.0
37.0	95.0
38.0	96.0
39.0	77.0
40.0	94.0
41.0	86.0
42.0	86.0
43.0	73.0
44.0	79.0
45.0	69.0
46.0	70.0
47.0	76.0
48.0	69.0
49.0	65.0
50.0	2136.0
