#Coverage (X)	Coverage
1.0	99.235813131498
2.0	99.23332076180965
3.0	99.22673202213849
4.0	99.22157454426856
5.0	99.215931753489
6.0	99.21087298332951
7.0	99.20449811036427
8.0	99.19838645796018
9.0	99.19021839492214
10.0	99.18103035220967
11.0	99.16899623717983
12.0	99.1574309837745
13.0	99.14433576085754
14.0	99.1269961063921
15.0	99.1061934564191
16.0	99.08283263161748
17.0	99.0566997652813
18.0	99.02304866166739
19.0	98.98339283900238
20.0	98.93788035885188
21.0	98.88596832880854
22.0	98.82475309705724
23.0	98.75252372995051
24.0	98.66952699676445
25.0	98.56656662914402
26.0	98.44757448422136
27.0	98.30825677659278
28.0	98.15099071695111
29.0	97.97347312538635
30.0	97.76163815316228
31.0	97.5227654939231
32.0	97.25167299287125
33.0	96.94409976717319
34.0	96.59417270805838
35.0	96.19418438847077
36.0	95.7396107050157
37.0	95.2348030225946
38.0	94.68083890037965
39.0	94.05343624160521
40.0	93.35420727220831
41.0	92.58343988967768
42.0	91.74232681218102
43.0	90.80527806578951
44.0	89.78376019619802
45.0	88.68086604500002
46.0	87.48405973297096
47.0	86.20269381567404
48.0	84.8281807223019
49.0	83.36251928399072
50.0	81.80458258771311
51.0	80.1758231092024
