#Insert size (bp)	insert size
141.0	1.0
142.0	1.0
144.0	1.0
146.0	2.0
147.0	1.0
148.0	5.0
149.0	34.0
150.0	9935.0
151.0	19449.0
152.0	19288.0
153.0	19701.0
154.0	19697.0
155.0	19334.0
156.0	20012.0
157.0	19581.0
158.0	19285.0
159.0	19493.0
160.0	19124.0
161.0	19491.0
162.0	19046.0
163.0	19493.0
164.0	19327.0
165.0	19299.0
166.0	19443.0
167.0	19563.0
168.0	19655.0
169.0	19346.0
170.0	19170.0
171.0	19400.0
172.0	18973.0
173.0	19285.0
174.0	19200.0
175.0	19325.0
176.0	19557.0
177.0	19554.0
178.0	19124.0
179.0	18973.0
180.0	18790.0
181.0	18877.0
182.0	18903.0
183.0	19042.0
184.0	18984.0
185.0	19095.0
186.0	19219.0
187.0	18889.0
188.0	19209.0
189.0	19022.0
190.0	19000.0
191.0	18929.0
192.0	18898.0
193.0	18550.0
194.0	18585.0
195.0	18926.0
196.0	18941.0
197.0	19065.0
198.0	18796.0
199.0	18922.0
200.0	18878.0
201.0	18543.0
202.0	18408.0
203.0	18159.0
204.0	18327.0
205.0	18309.0
206.0	18631.0
207.0	18602.0
208.0	18910.0
209.0	18413.0
210.0	18478.0
211.0	18304.0
212.0	18331.0
213.0	17938.0
214.0	18078.0
215.0	17993.0
216.0	18115.0
217.0	18126.0
218.0	18219.0
219.0	18146.0
220.0	18210.0
221.0	17903.0
222.0	18030.0
223.0	17468.0
224.0	17366.0
225.0	17381.0
226.0	17492.0
227.0	17499.0
228.0	17722.0
229.0	17747.0
230.0	17496.0
231.0	17578.0
232.0	17345.0
233.0	16870.0
234.0	16676.0
235.0	16279.0
236.0	16731.0
237.0	16591.0
238.0	16605.0
239.0	16538.0
240.0	16707.0
241.0	16894.0
242.0	16402.0
243.0	16371.0
244.0	15918.0
245.0	15790.0
246.0	15585.0
247.0	15519.0
248.0	15556.0
249.0	15685.0
250.0	15522.0
251.0	15466.0
252.0	15195.0
253.0	15107.0
254.0	15165.0
255.0	14551.0
256.0	14257.0
257.0	13881.0
258.0	13920.0
259.0	13768.0
260.0	13775.0
261.0	13595.0
262.0	13356.0
263.0	12627.0
264.0	11562.0
265.0	10337.0
266.0	9484.0
267.0	9352.0
268.0	8993.0
269.0	8709.0
270.0	9027.0
271.0	7362.0
272.0	7382.0
273.0	7225.0
274.0	7119.0
275.0	7190.0
276.0	7197.0
277.0	7146.0
278.0	7277.0
279.0	7221.0
280.0	7050.0
281.0	6985.0
282.0	7090.0
283.0	7111.0
