#Mapping quality	mapping quality
0.0	251429.0
1.0	124664.0
2.0	45612.0
3.0	32050.0
4.0	25578.0
5.0	21700.0
6.0	22354.0
7.0	22559.0
8.0	24717.0
9.0	31590.0
10.0	34786.0
11.0	24247.0
12.0	22165.0
13.0	17769.0
14.0	18952.0
15.0	18838.0
16.0	18396.0
17.0	19014.0
18.0	17168.0
19.0	16637.0
20.0	16567.0
21.0	16715.0
22.0	15372.0
23.0	14794.0
24.0	13636.0
25.0	14312.0
26.0	13366.0
27.0	13464.0
28.0	13507.0
29.0	13959.0
30.0	14375.0
31.0	15714.0
32.0	16760.0
33.0	19455.0
34.0	23184.0
35.0	29106.0
36.0	44454.0
37.0	78440.0
38.0	179423.0
39.0	484511.0
40.0	1349173.0
41.0	2946394.0
42.0	3924281.0
43.0	1972907.0
44.0	10108.0
