#Mapping quality	mapping quality
0.0	111264.0
1.0	262826.0
2.0	33634.0
3.0	26009.0
4.0	24378.0
5.0	20528.0
6.0	21496.0
7.0	20415.0
8.0	22440.0
9.0	28520.0
10.0	31174.0
11.0	48321.0
12.0	20460.0
13.0	19479.0
14.0	18796.0
15.0	18003.0
16.0	17975.0
17.0	17739.0
18.0	15687.0
19.0	16989.0
20.0	17619.0
21.0	16734.0
22.0	14875.0
23.0	13983.0
24.0	13584.0
25.0	12594.0
26.0	12377.0
27.0	11999.0
28.0	11385.0
29.0	11922.0
30.0	12174.0
31.0	12322.0
32.0	13776.0
33.0	14319.0
34.0	16190.0
35.0	18214.0
36.0	24198.0
37.0	33129.0
38.0	54008.0
39.0	112190.0
40.0	279174.0
41.0	731973.0
42.0	1875911.0
43.0	7017133.0
44.0	910201.0
