#Duplication rate	Coverage
1.0	1905455.0
2.0	630329.0
3.0	238662.0
4.0	105509.0
5.0	50557.0
6.0	26638.0
7.0	14486.0
8.0	8548.0
9.0	5312.0
10.0	3424.0
11.0	2368.0
12.0	1585.0
13.0	1249.0
14.0	924.0
15.0	750.0
16.0	635.0
17.0	489.0
18.0	425.0
19.0	388.0
20.0	306.0
21.0	302.0
22.0	314.0
23.0	264.0
24.0	262.0
25.0	233.0
26.0	227.0
27.0	212.0
28.0	176.0
29.0	162.0
30.0	153.0
31.0	178.0
32.0	127.0
33.0	145.0
34.0	147.0
35.0	148.0
36.0	154.0
37.0	116.0
38.0	125.0
39.0	135.0
40.0	106.0
41.0	117.0
42.0	98.0
43.0	90.0
44.0	87.0
45.0	104.0
46.0	102.0
47.0	75.0
48.0	83.0
49.0	86.0
50.0	3342.0
