#Insert size (bp)	insert size
145.0	1.0
146.0	2.0
147.0	6.0
148.0	3.0
149.0	23.0
150.0	6373.0
151.0	12624.0
152.0	12593.0
153.0	12737.0
154.0	13032.0
155.0	12726.0
156.0	13017.0
157.0	12693.0
158.0	12593.0
159.0	12639.0
160.0	12678.0
161.0	12759.0
162.0	12502.0
163.0	12805.0
164.0	12708.0
165.0	12912.0
166.0	12861.0
167.0	13010.0
168.0	12775.0
169.0	12907.0
170.0	12488.0
171.0	12771.0
172.0	12636.0
173.0	12535.0
174.0	12661.0
175.0	12564.0
176.0	12740.0
177.0	12690.0
178.0	12674.0
179.0	12591.0
180.0	12719.0
181.0	12287.0
182.0	12341.0
183.0	12504.0
184.0	12578.0
185.0	12695.0
186.0	12668.0
187.0	12723.0
188.0	12571.0
189.0	12585.0
190.0	12577.0
191.0	12370.0
192.0	12554.0
193.0	12393.0
194.0	12178.0
195.0	12546.0
196.0	12599.0
197.0	12607.0
198.0	12468.0
199.0	12419.0
200.0	12554.0
201.0	12383.0
202.0	12217.0
203.0	12274.0
204.0	12238.0
205.0	12278.0
206.0	12331.0
207.0	12299.0
208.0	12337.0
209.0	12206.0
210.0	12293.0
211.0	12175.0
212.0	12302.0
213.0	12206.0
214.0	12109.0
215.0	12042.0
216.0	12183.0
217.0	12108.0
218.0	12067.0
219.0	12078.0
220.0	12049.0
221.0	12066.0
222.0	11911.0
223.0	11783.0
224.0	11873.0
225.0	11903.0
226.0	11748.0
227.0	11869.0
228.0	11674.0
229.0	11986.0
230.0	11625.0
231.0	11655.0
232.0	11483.0
233.0	11483.0
234.0	11277.0
235.0	11355.0
236.0	11492.0
237.0	11182.0
238.0	11476.0
239.0	11533.0
240.0	11448.0
241.0	11358.0
242.0	11044.0
243.0	11218.0
244.0	11127.0
245.0	11119.0
246.0	10964.0
247.0	10972.0
248.0	11076.0
249.0	11112.0
250.0	11124.0
251.0	10914.0
252.0	10773.0
253.0	10795.0
254.0	10514.0
255.0	10645.0
256.0	10519.0
257.0	10498.0
258.0	10590.0
259.0	10527.0
260.0	10605.0
261.0	10492.0
262.0	10644.0
263.0	10504.0
264.0	10269.0
265.0	10135.0
266.0	10064.0
267.0	9909.0
268.0	9992.0
269.0	9909.0
270.0	9921.0
271.0	9681.0
272.0	9640.0
273.0	9803.0
274.0	9462.0
275.0	9498.0
276.0	9694.0
277.0	9542.0
278.0	9525.0
279.0	9380.0
280.0	9314.0
281.0	9476.0
282.0	9278.0
283.0	9324.0
284.0	9274.0
285.0	9228.0
286.0	9408.0
287.0	9047.0
288.0	9076.0
289.0	8889.0
290.0	8971.0
291.0	9031.0
292.0	8933.0
293.0	8869.0
294.0	8933.0
295.0	8987.0
296.0	8881.0
297.0	8738.0
