#Mapping quality	mapping quality
0.0	148846.0
1.0	220476.0
2.0	40725.0
3.0	30157.0
4.0	23281.0
5.0	20484.0
6.0	19892.0
7.0	20371.0
8.0	23805.0
9.0	28446.0
10.0	40001.0
11.0	33038.0
12.0	21074.0
13.0	17732.0
14.0	16592.0
15.0	16459.0
16.0	16905.0
17.0	18391.0
18.0	17020.0
19.0	16806.0
20.0	17434.0
21.0	17319.0
22.0	22494.0
23.0	17486.0
24.0	17157.0
25.0	14786.0
26.0	13735.0
27.0	13518.0
28.0	14872.0
29.0	14315.0
30.0	13553.0
31.0	14326.0
32.0	15653.0
33.0	16047.0
34.0	17613.0
35.0	19987.0
36.0	23410.0
37.0	28862.0
38.0	35243.0
39.0	47291.0
40.0	86629.0
41.0	255402.0
42.0	1761287.0
43.0	8670172.0
44.0	155361.0
