#Duplication rate	Coverage
1.0	1815947.0
2.0	710579.0
3.0	267760.0
4.0	131653.0
5.0	64211.0
6.0	35842.0
7.0	20003.0
8.0	12198.0
9.0	7523.0
10.0	4989.0
11.0	3350.0
12.0	2442.0
13.0	1725.0
14.0	1288.0
15.0	1068.0
16.0	798.0
17.0	660.0
18.0	574.0
19.0	514.0
20.0	448.0
21.0	394.0
22.0	335.0
23.0	331.0
24.0	320.0
25.0	258.0
26.0	221.0
27.0	229.0
28.0	216.0
29.0	190.0
30.0	190.0
31.0	189.0
32.0	190.0
33.0	175.0
34.0	141.0
35.0	144.0
36.0	128.0
37.0	130.0
38.0	116.0
39.0	121.0
40.0	99.0
41.0	103.0
42.0	115.0
43.0	96.0
44.0	95.0
45.0	125.0
46.0	103.0
47.0	88.0
48.0	95.0
49.0	85.0
50.0	3235.0
