#Coverage (X)	Coverage
1.0	99.82653765020537
2.0	99.80552935916899
3.0	99.73793925445244
4.0	99.70990626469049
5.0	99.65857002962466
6.0	99.62859578822425
7.0	99.57655214790034
8.0	99.53181287814822
9.0	99.46546484545458
10.0	99.40511330616953
11.0	99.33511308819
12.0	99.26220921839533
13.0	99.16974477065058
14.0	99.06715455694427
15.0	98.94929755069155
16.0	98.8273194975284
17.0	98.68542716378612
18.0	98.5287944786197
19.0	98.34781389154737
20.0	98.15066169124968
21.0	97.93613693391642
22.0	97.69635122835577
23.0	97.43809895530227
24.0	97.15526846235186
25.0	96.84278452805992
26.0	96.50767185115207
27.0	96.14209139429165
28.0	95.74152727972654
29.0	95.29862578302976
30.0	94.82037047471417
31.0	94.30546992890166
32.0	93.74643881088467
33.0	93.13789755044478
34.0	92.49089318550757
35.0	91.77002255059901
36.0	91.00502956912851
37.0	90.1745933756433
38.0	89.27280795880269
39.0	88.31721861413553
40.0	87.28522950159598
41.0	86.2008430461035
42.0	85.04525542882125
43.0	83.81426334641347
44.0	82.52535451491124
45.0	81.14308464062785
46.0	79.6809026491093
47.0	78.14964993721779
48.0	76.54456385792506
49.0	74.86294640047939
50.0	73.10504433415686
51.0	71.29472024795376
