#Insert size (bp)	insert size
138.0	1.0
140.0	1.0
141.0	3.0
142.0	1.0
143.0	2.0
144.0	2.0
146.0	4.0
147.0	3.0
148.0	7.0
149.0	37.0
150.0	11687.0
151.0	23020.0
152.0	23187.0
153.0	23558.0
154.0	23464.0
155.0	23366.0
156.0	23961.0
157.0	23335.0
158.0	22923.0
159.0	23197.0
160.0	22739.0
161.0	23068.0
162.0	22378.0
163.0	22988.0
164.0	23192.0
165.0	23082.0
166.0	22988.0
167.0	22899.0
168.0	22868.0
169.0	22758.0
170.0	22144.0
171.0	22366.0
172.0	22236.0
173.0	22023.0
174.0	22446.0
175.0	22015.0
176.0	22303.0
177.0	22184.0
178.0	22217.0
179.0	21902.0
180.0	21640.0
181.0	21263.0
182.0	21431.0
183.0	21179.0
184.0	21139.0
185.0	21119.0
186.0	21039.0
187.0	21035.0
188.0	20735.0
189.0	20580.0
190.0	20763.0
191.0	20174.0
192.0	20179.0
193.0	19778.0
194.0	19979.0
195.0	20141.0
196.0	19664.0
197.0	19802.0
198.0	19479.0
199.0	19252.0
200.0	19202.0
201.0	18732.0
202.0	18828.0
203.0	18077.0
204.0	18468.0
205.0	18136.0
206.0	18225.0
207.0	17919.0
208.0	18018.0
209.0	17725.0
210.0	17302.0
211.0	17303.0
212.0	17121.0
213.0	16815.0
214.0	16839.0
215.0	16456.0
216.0	16153.0
217.0	16124.0
218.0	16168.0
219.0	16098.0
220.0	15961.0
221.0	15370.0
222.0	15420.0
223.0	14986.0
224.0	14926.0
225.0	14550.0
226.0	14527.0
227.0	14232.0
228.0	14228.0
229.0	14123.0
230.0	13954.0
231.0	13925.0
232.0	13449.0
233.0	13079.0
234.0	12914.0
235.0	12689.0
236.0	12716.0
237.0	12616.0
238.0	12501.0
239.0	12617.0
240.0	12205.0
241.0	12387.0
242.0	12108.0
243.0	12144.0
244.0	11752.0
245.0	11515.0
246.0	11318.0
247.0	11139.0
248.0	11080.0
249.0	10974.0
250.0	11006.0
251.0	10910.0
252.0	10751.0
253.0	10583.0
254.0	10196.0
255.0	10192.0
256.0	9994.0
257.0	9960.0
258.0	9647.0
259.0	9697.0
260.0	9713.0
261.0	9491.0
262.0	9338.0
263.0	9381.0
264.0	8747.0
265.0	8577.0
266.0	8253.0
267.0	8147.0
268.0	8162.0
269.0	7898.0
270.0	8041.0
271.0	7686.0
272.0	7568.0
273.0	7510.0
274.0	7566.0
275.0	7644.0
276.0	7414.0
277.0	7473.0
278.0	7449.0
279.0	7328.0
280.0	7232.0
281.0	7200.0
282.0	6991.0
283.0	7226.0
284.0	7230.0
285.0	7029.0
286.0	6872.0
287.0	6919.0
288.0	6977.0
289.0	6892.0
290.0	6908.0
291.0	6703.0
292.0	6731.0
293.0	6858.0
294.0	6830.0
295.0	6605.0
296.0	6725.0
297.0	6567.0
298.0	6604.0
299.0	6393.0
300.0	6400.0
301.0	6420.0
302.0	6350.0
303.0	6364.0
304.0	6299.0
305.0	6265.0
306.0	6289.0
307.0	6112.0
308.0	6272.0
309.0	6216.0
310.0	6186.0
311.0	6048.0
312.0	6106.0
313.0	6091.0
314.0	5882.0
315.0	5803.0
316.0	5987.0
317.0	5856.0
318.0	5658.0
319.0	5670.0
320.0	5666.0
321.0	5854.0
322.0	5693.0
323.0	5655.0
324.0	5494.0
325.0	5629.0
326.0	5409.0
327.0	5590.0
328.0	5599.0
329.0	5278.0
330.0	5504.0
331.0	5298.0
332.0	5231.0
333.0	5327.0
334.0	5260.0
335.0	5258.0
336.0	5234.0
337.0	5064.0
338.0	4886.0
339.0	5039.0
340.0	5006.0
341.0	4982.0
342.0	5045.0
343.0	4824.0
344.0	4836.0
345.0	4854.0
346.0	4862.0
347.0	4787.0
348.0	4767.0
349.0	4791.0
350.0	4633.0
351.0	4791.0
352.0	4739.0
353.0	4581.0
354.0	4603.0
355.0	4735.0
356.0	4489.0
357.0	4544.0
358.0	4517.0
359.0	4470.0
360.0	4382.0
361.0	4413.0
362.0	4344.0
363.0	4427.0
364.0	4506.0
365.0	4288.0
366.0	4333.0
367.0	4262.0
368.0	4068.0
369.0	3994.0
370.0	4121.0
371.0	4144.0
372.0	4095.0
373.0	4050.0
374.0	3959.0
375.0	3915.0
376.0	3975.0
377.0	3867.0
378.0	3877.0
379.0	3771.0
380.0	3783.0
381.0	3741.0
382.0	3771.0
383.0	3719.0
384.0	3689.0
385.0	3680.0
386.0	3677.0
387.0	3549.0
388.0	3712.0
389.0	3645.0
390.0	3520.0
391.0	3456.0
