#Mapping quality	mapping quality
0.0	228428.0
1.0	156975.0
2.0	44246.0
3.0	29343.0
4.0	24124.0
5.0	20322.0
6.0	19963.0
7.0	21462.0
8.0	23654.0
9.0	28160.0
10.0	37099.0
11.0	29993.0
12.0	20802.0
13.0	17346.0
14.0	17348.0
15.0	17723.0
16.0	19964.0
17.0	19462.0
18.0	18472.0
19.0	18188.0
20.0	18162.0
21.0	17312.0
22.0	21870.0
23.0	18143.0
24.0	17386.0
25.0	15805.0
26.0	15546.0
27.0	15713.0
28.0	15527.0
29.0	15536.0
30.0	16083.0
31.0	17802.0
32.0	18300.0
33.0	20557.0
34.0	23195.0
35.0	26645.0
36.0	34286.0
37.0	44782.0
38.0	73441.0
39.0	149318.0
40.0	417526.0
41.0	1416463.0
42.0	4207218.0
43.0	4631390.0
44.0	54937.0
