#Coverage	Number of genomic locations
0.0	67009.0
1.0	155426.0
2.0	337855.0
3.0	553546.0
4.0	766809.0
5.0	945432.0
6.0	1056260.0
7.0	1103901.0
8.0	1084400.0
9.0	1012911.0
10.0	905610.0
11.0	786715.0
12.0	666675.0
13.0	550503.0
14.0	448478.0
15.0	359631.0
16.0	280459.0
17.0	221686.0
18.0	171092.0
19.0	135346.0
20.0	106736.0
21.0	82441.0
22.0	64769.0
23.0	50238.0
24.0	39421.0
25.0	31328.0
26.0	25235.0
27.0	18996.0
28.0	15566.0
29.0	11850.0
30.0	9960.0
31.0	8450.0
32.0	6848.0
33.0	5708.0
34.0	5027.0
35.0	4228.0
36.0	3282.0
37.0	3125.0
38.0	2614.0
39.0	2617.0
40.0	2243.0
41.0	2104.0
42.0	1887.0
43.0	1585.0
44.0	1308.0
45.0	1120.0
46.0	1021.0
47.0	884.0
48.0	883.0
49.0	713.0
50.0	722.0
51.0	664.0
52.0	651.0
53.0	690.0
54.0	741.0
55.0	544.0
56.0	566.0
57.0	620.0
58.0	491.0
59.0	483.0
60.0	436.0
61.0	429.0
62.0	417.0
63.0	296.0
64.0	308.0
65.0	267.0
66.0	272.0
67.0	239.0
68.0	230.0
69.0	189.0
70.0	161.0
71.0	199.0
72.0	183.0
73.0	236.0
74.0	184.0
75.0	211.0
76.0	145.0
77.0	148.0
78.0	165.0
79.0	158.0
80.0	147.0
81.0	159.0
82.0	105.0
83.0	105.0
84.0	108.0
85.0	130.0
86.0	113.0
87.0	89.0
88.0	118.0
89.0	112.0
90.0	89.0
91.0	122.0
92.0	121.0
93.0	70.0
94.0	107.0
95.0	122.0
96.0	143.0
97.0	132.0
98.0	171.0
99.0	169.0
100.0	152.0
101.0	127.0
102.0	104.0
103.0	130.0
104.0	125.0
105.0	126.0
106.0	101.0
107.0	107.0
108.0	129.0
109.0	128.0
110.0	155.0
111.0	106.0
112.0	75.0
113.0	95.0
114.0	72.0
115.0	75.0
116.0	86.0
117.0	83.0
118.0	80.0
119.0	94.0
120.0	96.0
121.0	75.0
122.0	84.0
123.0	107.0
124.0	71.0
125.0	62.0
126.0	76.0
127.0	75.0
128.0	67.0
129.0	77.0
