#Duplication rate	Coverage
1.0	525572.0
2.0	106399.0
3.0	18070.0
4.0	7032.0
5.0	2329.0
6.0	1226.0
7.0	657.0
8.0	496.0
9.0	336.0
10.0	260.0
11.0	215.0
12.0	163.0
13.0	135.0
14.0	128.0
15.0	86.0
16.0	92.0
17.0	78.0
18.0	60.0
19.0	43.0
20.0	44.0
21.0	38.0
22.0	26.0
23.0	31.0
24.0	36.0
25.0	35.0
26.0	25.0
27.0	24.0
28.0	20.0
29.0	18.0
30.0	15.0
31.0	22.0
32.0	13.0
33.0	11.0
34.0	10.0
35.0	4.0
36.0	11.0
37.0	8.0
38.0	7.0
39.0	8.0
40.0	1.0
41.0	6.0
42.0	5.0
43.0	3.0
44.0	8.0
45.0	2.0
46.0	6.0
47.0	1.0
48.0	0.0
49.0	5.0
50.0	65.0
