#Coverage (X)	Coverage
1.0	99.4488079193196
2.0	98.17032920255275
3.0	95.39125474362523
4.0	90.83798322051179
5.0	84.53048649328932
6.0	76.75370081939738
7.0	68.0652836345495
8.0	58.98498861365432
9.0	50.06510184784947
10.0	41.733258041285325
11.0	34.28403390445341
12.0	27.812797536913607
13.0	22.328967299369396
14.0	17.800726406492345
15.0	14.111706693328728
16.0	11.15351064254196
17.0	8.846555162598335
18.0	7.02304537141039
19.0	5.615703738677922
20.0	4.502395924029614
21.0	3.6244237423301087
22.0	2.946293546037495
23.0	2.4135269046372656
24.0	2.0002870749245147
25.0	1.6760240205213535
26.0	1.4183310911602973
27.0	1.2107570017697782
28.0	1.0545026961600144
29.0	0.9264623444479838
30.0	0.8289884803989338
31.0	0.747061080742526
32.0	0.6775544013151489
33.0	0.6212252012300894
34.0	0.5742732336358358
35.0	0.5329229286084427
36.0	0.4981449119671453
37.0	0.4711483531646934
38.0	0.44544322024036376
39.0	0.42394139065181946
40.0	0.4024148841356663
41.0	0.3839647679279068
42.0	0.3666580160326163
43.0	0.3511362285675972
44.0	0.3380985851483729
45.0	0.32733944471156917
46.0	0.31812672507149387
47.0	0.30972834404245475
48.0	0.3024568760408215
49.0	0.2951936336817198
50.0	0.28932875055370744
51.0	0.28338983664286843
