#Insert size (bp)	insert size
142.0	1.0
145.0	1.0
149.0	4.0
150.0	952.0
151.0	1946.0
152.0	1965.0
153.0	2024.0
154.0	2014.0
155.0	2039.0
156.0	2065.0
157.0	2073.0
158.0	2012.0
159.0	1929.0
160.0	2006.0
161.0	1964.0
162.0	1918.0
163.0	1980.0
164.0	2013.0
165.0	2039.0
166.0	2021.0
167.0	2068.0
168.0	1912.0
169.0	1975.0
170.0	1857.0
171.0	1923.0
172.0	1868.0
173.0	1955.0
174.0	1920.0
175.0	1915.0
176.0	1979.0
177.0	1911.0
178.0	1936.0
179.0	1995.0
180.0	1924.0
181.0	1844.0
182.0	1837.0
183.0	1941.0
184.0	1975.0
185.0	1905.0
186.0	1920.0
187.0	1952.0
188.0	1920.0
189.0	1931.0
190.0	1955.0
191.0	1904.0
192.0	1870.0
193.0	1859.0
194.0	1880.0
195.0	1992.0
196.0	1932.0
197.0	1947.0
198.0	1880.0
199.0	1905.0
200.0	2004.0
201.0	1850.0
202.0	1864.0
203.0	1835.0
204.0	1886.0
205.0	1888.0
206.0	1939.0
207.0	1946.0
208.0	1841.0
209.0	1880.0
210.0	1849.0
211.0	1843.0
212.0	1782.0
213.0	1734.0
214.0	1805.0
215.0	1759.0
216.0	1748.0
217.0	1815.0
218.0	1782.0
219.0	1855.0
220.0	1774.0
221.0	1651.0
222.0	1774.0
223.0	1715.0
224.0	1678.0
225.0	1671.0
226.0	1742.0
227.0	1692.0
228.0	1779.0
229.0	1795.0
230.0	1709.0
231.0	1749.0
232.0	1671.0
233.0	1570.0
234.0	1600.0
235.0	1630.0
236.0	1660.0
237.0	1624.0
238.0	1629.0
239.0	1563.0
240.0	1675.0
241.0	1668.0
242.0	1657.0
243.0	1624.0
244.0	1502.0
245.0	1521.0
246.0	1464.0
247.0	1494.0
248.0	1488.0
249.0	1520.0
250.0	1442.0
251.0	1477.0
252.0	1436.0
253.0	1520.0
254.0	1522.0
255.0	1389.0
256.0	1404.0
257.0	1406.0
258.0	1343.0
259.0	1342.0
260.0	1332.0
261.0	1390.0
262.0	1370.0
263.0	1299.0
264.0	1254.0
265.0	1157.0
266.0	1103.0
267.0	1021.0
268.0	1088.0
269.0	1045.0
270.0	1079.0
271.0	999.0
272.0	1013.0
273.0	997.0
274.0	999.0
275.0	1063.0
276.0	997.0
277.0	1013.0
278.0	1008.0
279.0	962.0
280.0	1011.0
281.0	1007.0
282.0	976.0
283.0	952.0
284.0	1007.0
285.0	1017.0
286.0	1004.0
287.0	1001.0
288.0	964.0
289.0	957.0
290.0	979.0
291.0	948.0
292.0	981.0
293.0	1024.0
294.0	976.0
295.0	970.0
296.0	949.0
297.0	929.0
298.0	965.0
299.0	968.0
300.0	939.0
301.0	904.0
302.0	986.0
303.0	963.0
304.0	944.0
305.0	947.0
306.0	945.0
307.0	967.0
308.0	1025.0
309.0	932.0
310.0	957.0
311.0	969.0
312.0	940.0
313.0	987.0
314.0	926.0
315.0	957.0
316.0	978.0
317.0	933.0
318.0	972.0
319.0	914.0
320.0	901.0
321.0	906.0
322.0	941.0
323.0	940.0
324.0	934.0
325.0	943.0
326.0	935.0
327.0	955.0
328.0	924.0
329.0	958.0
330.0	940.0
331.0	879.0
332.0	906.0
333.0	953.0
334.0	860.0
335.0	931.0
336.0	916.0
337.0	930.0
338.0	938.0
339.0	922.0
340.0	868.0
341.0	846.0
342.0	892.0
343.0	896.0
344.0	897.0
345.0	844.0
346.0	886.0
347.0	902.0
348.0	893.0
349.0	887.0
350.0	799.0
351.0	931.0
352.0	852.0
353.0	834.0
354.0	887.0
355.0	873.0
356.0	955.0
357.0	898.0
358.0	841.0
359.0	852.0
360.0	876.0
361.0	874.0
362.0	917.0
363.0	883.0
364.0	853.0
365.0	854.0
366.0	883.0
367.0	857.0
368.0	808.0
369.0	849.0
370.0	808.0
371.0	831.0
372.0	845.0
373.0	830.0
374.0	830.0
375.0	840.0
376.0	840.0
377.0	851.0
378.0	833.0
379.0	815.0
380.0	793.0
381.0	815.0
382.0	801.0
383.0	833.0
384.0	842.0
385.0	808.0
386.0	854.0
387.0	799.0
388.0	871.0
389.0	804.0
390.0	776.0
391.0	839.0
392.0	791.0
393.0	787.0
394.0	789.0
395.0	767.0
396.0	774.0
397.0	774.0
398.0	762.0
399.0	704.0
400.0	781.0
401.0	792.0
402.0	788.0
403.0	836.0
404.0	786.0
405.0	767.0
406.0	729.0
407.0	725.0
408.0	755.0
409.0	741.0
410.0	725.0
411.0	757.0
412.0	674.0
413.0	733.0
414.0	691.0
415.0	736.0
416.0	735.0
417.0	714.0
418.0	803.0
419.0	718.0
420.0	697.0
421.0	746.0
422.0	696.0
423.0	740.0
424.0	755.0
425.0	685.0
426.0	726.0
427.0	714.0
428.0	641.0
429.0	703.0
430.0	722.0
431.0	706.0
432.0	671.0
433.0	696.0
434.0	686.0
435.0	629.0
436.0	660.0
437.0	671.0
438.0	687.0
439.0	629.0
440.0	676.0
441.0	728.0
442.0	722.0
443.0	623.0
444.0	664.0
445.0	636.0
446.0	656.0
447.0	656.0
448.0	678.0
449.0	674.0
450.0	615.0
451.0	610.0
452.0	615.0
453.0	622.0
454.0	608.0
455.0	643.0
456.0	605.0
457.0	603.0
458.0	610.0
459.0	649.0
460.0	635.0
461.0	594.0
462.0	648.0
463.0	580.0
464.0	607.0
465.0	593.0
466.0	621.0
467.0	591.0
468.0	567.0
469.0	531.0
470.0	548.0
471.0	531.0
472.0	618.0
473.0	585.0
474.0	582.0
475.0	537.0
476.0	548.0
477.0	545.0
478.0	570.0
479.0	565.0
480.0	537.0
481.0	500.0
482.0	569.0
483.0	558.0
484.0	530.0
485.0	548.0
486.0	562.0
487.0	550.0
488.0	514.0
489.0	513.0
490.0	512.0
491.0	493.0
492.0	478.0
493.0	491.0
494.0	510.0
495.0	476.0
496.0	500.0
497.0	521.0
498.0	474.0
499.0	489.0
500.0	482.0
501.0	515.0
502.0	464.0
503.0	451.0
504.0	467.0
505.0	467.0
506.0	457.0
507.0	464.0
508.0	455.0
509.0	443.0
510.0	445.0
511.0	496.0
512.0	447.0
513.0	443.0
514.0	410.0
515.0	439.0
516.0	423.0
517.0	442.0
518.0	432.0
519.0	450.0
520.0	423.0
521.0	420.0
522.0	407.0
523.0	427.0
524.0	396.0
525.0	388.0
526.0	412.0
527.0	434.0
528.0	391.0
529.0	397.0
530.0	389.0
531.0	398.0
532.0	380.0
533.0	390.0
534.0	407.0
535.0	395.0
536.0	364.0
537.0	405.0
538.0	347.0
539.0	347.0
540.0	352.0
541.0	365.0
542.0	348.0
543.0	347.0
544.0	368.0
545.0	357.0
546.0	364.0
547.0	362.0
548.0	360.0
549.0	330.0
550.0	293.0
551.0	320.0
552.0	347.0
553.0	281.0
554.0	305.0
555.0	314.0
556.0	326.0
557.0	306.0
558.0	288.0
559.0	329.0
560.0	287.0
561.0	306.0
562.0	321.0
563.0	292.0
564.0	299.0
565.0	283.0
566.0	294.0
567.0	319.0
568.0	308.0
569.0	292.0
570.0	265.0
571.0	284.0
572.0	308.0
573.0	272.0
574.0	275.0
575.0	250.0
576.0	251.0
577.0	299.0
578.0	249.0
579.0	262.0
580.0	243.0
581.0	254.0
582.0	225.0
583.0	228.0
584.0	244.0
585.0	252.0
586.0	245.0
587.0	215.0
588.0	207.0
589.0	238.0
590.0	255.0
591.0	239.0
592.0	238.0
593.0	221.0
594.0	238.0
595.0	238.0
596.0	203.0
597.0	196.0
598.0	185.0
599.0	203.0
600.0	212.0
601.0	175.0
602.0	196.0
603.0	212.0
604.0	216.0
605.0	178.0
606.0	188.0
607.0	172.0
608.0	196.0
609.0	199.0
610.0	161.0
611.0	181.0
612.0	173.0
613.0	164.0
614.0	170.0
615.0	188.0
616.0	183.0
617.0	166.0
618.0	150.0
619.0	158.0
620.0	165.0
621.0	146.0
622.0	170.0
623.0	157.0
624.0	160.0
625.0	171.0
626.0	108.0
627.0	144.0
628.0	151.0
629.0	129.0
630.0	146.0
631.0	120.0
632.0	116.0
633.0	140.0
634.0	136.0
635.0	145.0
636.0	112.0
637.0	127.0
638.0	139.0
639.0	117.0
640.0	139.0
641.0	114.0
642.0	128.0
643.0	134.0
644.0	101.0
645.0	109.0
646.0	111.0
647.0	113.0
648.0	108.0
649.0	106.0
650.0	105.0
651.0	100.0
652.0	112.0
653.0	99.0
654.0	95.0
655.0	108.0
656.0	93.0
657.0	88.0
658.0	87.0
659.0	79.0
660.0	101.0
661.0	94.0
662.0	77.0
663.0	88.0
664.0	84.0
665.0	84.0
666.0	102.0
667.0	80.0
668.0	87.0
669.0	68.0
670.0	81.0
671.0	66.0
672.0	77.0
673.0	75.0
674.0	83.0
675.0	53.0
676.0	64.0
677.0	53.0
678.0	71.0
679.0	67.0
680.0	59.0
681.0	84.0
682.0	67.0
683.0	80.0
684.0	73.0
685.0	53.0
686.0	63.0
687.0	58.0
688.0	84.0
689.0	64.0
690.0	58.0
691.0	53.0
692.0	57.0
693.0	41.0
694.0	55.0
695.0	49.0
696.0	58.0
697.0	42.0
698.0	53.0
699.0	59.0
700.0	37.0
701.0	49.0
702.0	53.0
703.0	44.0
704.0	40.0
705.0	52.0
706.0	36.0
707.0	30.0
708.0	35.0
709.0	34.0
710.0	35.0
711.0	37.0
712.0	25.0
713.0	36.0
714.0	46.0
715.0	25.0
716.0	31.0
717.0	40.0
718.0	30.0
719.0	26.0
720.0	39.0
721.0	41.0
722.0	35.0
723.0	31.0
724.0	37.0
725.0	31.0
726.0	25.0
727.0	33.0
728.0	36.0
729.0	24.0
730.0	28.0
731.0	29.0
732.0	20.0
733.0	24.0
734.0	23.0
735.0	15.0
736.0	30.0
737.0	21.0
738.0	22.0
739.0	21.0
740.0	21.0
741.0	22.0
742.0	17.0
743.0	17.0
744.0	18.0
745.0	22.0
746.0	12.0
747.0	24.0
748.0	20.0
749.0	10.0
750.0	12.0
751.0	23.0
752.0	18.0
753.0	21.0
754.0	11.0
755.0	17.0
756.0	21.0
757.0	9.0
758.0	11.0
759.0	15.0
760.0	16.0
761.0	9.0
762.0	12.0
763.0	15.0
764.0	14.0
765.0	16.0
766.0	13.0
767.0	9.0
768.0	12.0
769.0	11.0
770.0	13.0
771.0	13.0
772.0	9.0
773.0	13.0
774.0	9.0
775.0	13.0
776.0	9.0
777.0	12.0
778.0	12.0
779.0	7.0
780.0	9.0
781.0	13.0
782.0	4.0
783.0	11.0
784.0	8.0
785.0	11.0
786.0	4.0
787.0	7.0
788.0	6.0
789.0	7.0
790.0	5.0
791.0	7.0
792.0	6.0
793.0	6.0
794.0	2.0
795.0	3.0
796.0	10.0
797.0	8.0
798.0	7.0
799.0	8.0
800.0	5.0
801.0	5.0
802.0	3.0
803.0	2.0
804.0	4.0
