#Mapping quality	mapping quality
0.0	91826.0
1.0	262146.0
2.0	40269.0
3.0	32934.0
4.0	25388.0
5.0	20367.0
6.0	23466.0
7.0	24031.0
8.0	22950.0
9.0	27220.0
10.0	16337.0
11.0	58545.0
12.0	18626.0
13.0	16255.0
14.0	18765.0
15.0	16292.0
16.0	16707.0
17.0	16075.0
18.0	16965.0
19.0	16390.0
20.0	16587.0
21.0	17772.0
22.0	20377.0
23.0	16846.0
24.0	17171.0
25.0	13779.0
26.0	14352.0
27.0	13711.0
28.0	17959.0
29.0	19824.0
30.0	19093.0
31.0	20210.0
32.0	25742.0
33.0	37647.0
34.0	47966.0
35.0	64348.0
36.0	119365.0
37.0	159917.0
38.0	249743.0
39.0	347300.0
40.0	576144.0
41.0	640605.0
42.0	1153770.0
43.0	4021052.0
44.0	3657262.0
