#Coverage (X)	Coverage
1.0	99.91078468105688
2.0	99.90108664850719
3.0	99.87279866382663
4.0	99.86046020002296
5.0	99.83626035968267
6.0	99.8233954547567
7.0	99.79993592224464
8.0	99.78432365271173
9.0	99.76137411003688
10.0	99.7439521991461
11.0	99.72028702557064
12.0	99.69935276531707
13.0	99.66817758010644
14.0	99.63606467164675
15.0	99.58855336036005
16.0	99.53426411962387
17.0	99.46404180929588
18.0	99.37909559882883
19.0	99.26909408119778
20.0	99.12988330692217
21.0	98.96012249626864
22.0	98.75351080705481
23.0	98.49711752921439
24.0	98.19337745293801
25.0	97.82755845244407
26.0	97.38872864880248
27.0	96.87505372372782
28.0	96.27799546026789
29.0	95.58250093258222
30.0	94.80101553782747
31.0	93.91007151784903
32.0	92.92784754265098
33.0	91.83352451097527
34.0	90.61089790702638
35.0	89.28238260671435
36.0	87.83974474186083
37.0	86.30379518808138
38.0	84.66563380015225
39.0	82.91688687397206
40.0	81.05716780434157
41.0	79.10189967101543
42.0	77.05642091599933
43.0	74.93242017733664
44.0	72.74112545708869
45.0	70.49133819276875
46.0	68.21780349844803
47.0	65.90393847877435
48.0	63.57695355925609
49.0	61.226920389352564
50.0	58.87724092207808
51.0	56.53739932327639
