#Insert size (bp)	insert size
141.0	2.0
142.0	2.0
144.0	1.0
145.0	3.0
146.0	3.0
147.0	4.0
148.0	9.0
149.0	31.0
150.0	8678.0
151.0	16722.0
152.0	16952.0
153.0	17105.0
154.0	17286.0
155.0	17425.0
156.0	17775.0
157.0	17022.0
158.0	17005.0
159.0	16900.0
160.0	16879.0
161.0	16912.0
162.0	16504.0
163.0	16788.0
164.0	17223.0
165.0	17062.0
166.0	17045.0
167.0	17011.0
168.0	16903.0
169.0	16889.0
170.0	16552.0
171.0	16638.0
172.0	16040.0
173.0	16587.0
174.0	16668.0
175.0	16472.0
176.0	16393.0
177.0	16612.0
178.0	16579.0
179.0	16531.0
180.0	16092.0
181.0	16257.0
182.0	15900.0
183.0	16023.0
184.0	15938.0
185.0	15932.0
186.0	16139.0
187.0	15933.0
188.0	16024.0
189.0	15800.0
190.0	15827.0
191.0	15741.0
192.0	15271.0
193.0	15317.0
194.0	15274.0
195.0	15154.0
196.0	15382.0
197.0	15273.0
198.0	15225.0
199.0	15134.0
200.0	15107.0
201.0	14931.0
202.0	14572.0
203.0	14360.0
204.0	14645.0
205.0	14388.0
206.0	14586.0
207.0	14537.0
208.0	14514.0
209.0	14537.0
210.0	14143.0
211.0	13874.0
212.0	13784.0
213.0	13672.0
214.0	13429.0
215.0	13533.0
216.0	13642.0
217.0	13456.0
218.0	13449.0
219.0	13348.0
220.0	13228.0
221.0	12934.0
222.0	13042.0
223.0	12703.0
224.0	12493.0
225.0	12423.0
226.0	12115.0
227.0	11992.0
228.0	12244.0
229.0	12303.0
230.0	11921.0
231.0	11902.0
232.0	11552.0
233.0	11534.0
234.0	11305.0
235.0	11073.0
236.0	11030.0
237.0	10815.0
238.0	11145.0
239.0	10685.0
240.0	10676.0
241.0	10784.0
242.0	10508.0
243.0	10392.0
244.0	10250.0
245.0	9955.0
246.0	9540.0
247.0	9621.0
248.0	9580.0
249.0	9608.0
250.0	9412.0
251.0	9460.0
252.0	9097.0
253.0	9154.0
254.0	9017.0
255.0	8860.0
256.0	8636.0
257.0	8528.0
258.0	8391.0
259.0	8175.0
260.0	8191.0
261.0	8097.0
262.0	7986.0
263.0	7783.0
264.0	7509.0
265.0	7325.0
266.0	7030.0
267.0	6768.0
