#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	1.364128069799705E-6
7.0	2.72825613959941E-6
8.0	1.364128069799705E-6
9.0	8.18476841879823E-6
10.0	4.092384209399115E-6
11.0	1.7733664907396165E-5
12.0	4.228797016379086E-5
13.0	3.819558595439174E-5
14.0	5.729337893158761E-5
15.0	7.093465962958466E-5
16.0	1.2686391049137257E-4
17.0	2.0871159467935487E-4
18.0	2.7282561395994097E-4
19.0	3.6012981042712216E-4
20.0	5.0881977003529E-4
21.0	6.547814735038585E-4
22.0	8.935038857188068E-4
23.0	0.0013191118434963149
24.0	0.001928877090696783
25.0	0.002897408020254574
26.0	0.0034116843025690626
27.0	0.005486523096734413
28.0	0.007914671060977888
29.0	0.01119539906884618
30.0	0.01578841827986179
31.0	0.022011570534288042
32.0	0.0291350473147821
33.0	0.037476690461607294
34.0	0.046278044767954996
35.0	0.05508621971465169
36.0	0.06358064520529445
37.0	0.06925132559145183
38.0	0.07286080846414185
39.0	0.07378568729546604
40.0	0.07147894672943475
41.0	0.06787628449709372
42.0	0.06226835400214713
43.0	0.054274563513120856
44.0	0.046636810450312316
45.0	0.03909045396818035
46.0	0.0314745269544886
47.0	0.024854413431750627
48.0	0.019556140008648575
49.0	0.015315065839641288
50.0	0.01235627205624573
51.0	0.01078752477597607
52.0	0.006804270812160929
53.0	0.005034996705630711
54.0	0.003153864097376918
55.0	0.0021635071187023325
56.0	0.0014227855768010925
57.0	9.180581909752014E-4
58.0	5.988522226420706E-4
59.0	4.0787429287011186E-4
60.0	3.1238532798413246E-4
61.0	1.8142903328336078E-4
62.0	1.2822803856117227E-4
63.0	7.639117190878347E-5
64.0	4.365209823359056E-5
65.0	3.273907367519292E-5
66.0	2.182604911679528E-5
67.0	1.636953683759646E-5
68.0	6.820640348998525E-6
69.0	2.72825613959941E-6
70.0	2.72825613959941E-6
71.0	1.364128069799705E-6
72.0	2.72825613959941E-6
73.0	0.0
74.0	1.364128069799705E-6
75.0	5.45651227919882E-6
76.0	0.0
77.0	2.72825613959941E-6
78.0	0.0
79.0	0.0
80.0	1.364128069799705E-6
81.0	0.0
82.0	0.0
83.0	1.364128069799705E-6
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	6.8206403489985254E-6
