#Duplication rate	Coverage
1.0	1938173.0
2.0	738462.0
3.0	292078.0
4.0	140740.0
5.0	70055.0
6.0	38579.0
7.0	21682.0
8.0	13227.0
9.0	8184.0
10.0	5293.0
11.0	3604.0
12.0	2570.0
13.0	1826.0
14.0	1317.0
15.0	977.0
16.0	722.0
17.0	657.0
18.0	540.0
19.0	421.0
20.0	386.0
21.0	311.0
22.0	255.0
23.0	233.0
24.0	243.0
25.0	202.0
26.0	187.0
27.0	174.0
28.0	161.0
29.0	165.0
30.0	140.0
31.0	139.0
32.0	128.0
33.0	118.0
34.0	109.0
35.0	100.0
36.0	101.0
37.0	88.0
38.0	99.0
39.0	84.0
40.0	69.0
41.0	88.0
42.0	56.0
43.0	85.0
44.0	61.0
45.0	71.0
46.0	55.0
47.0	45.0
48.0	56.0
49.0	41.0
50.0	1704.0
