#Coverage (X)	Coverage
1.0	99.24211397368042
2.0	99.23805050626774
3.0	99.22679782727879
4.0	99.2200445747569
5.0	99.20746756731968
6.0	99.19663439610005
7.0	99.18017488538595
8.0	99.16228411287062
9.0	99.13882458035856
10.0	99.11395023733036
11.0	99.08730738115695
12.0	99.05531785733528
13.0	99.01499575762486
14.0	98.96669478465473
15.0	98.91192023100895
16.0	98.84794940900815
17.0	98.77729113962576
18.0	98.69581615030881
19.0	98.60581116968226
20.0	98.50889664932564
21.0	98.3922323612406
22.0	98.26053159860015
23.0	98.11463337694295
24.0	97.95764698914749
25.0	97.77688849442363
26.0	97.57295836467645
27.0	97.34755108226835
28.0	97.0977218671715
29.0	96.81511346656954
30.0	96.50956374893529
31.0	96.1734804462082
32.0	95.80542407094453
33.0	95.40777183383709
34.0	94.9621147468908
35.0	94.47189935432819
36.0	93.94032543109564
37.0	93.35752220615024
38.0	92.7160783755672
39.0	92.01943225792654
40.0	91.2660867862867
41.0	90.4429631890158
42.0	89.55314608206476
43.0	88.58075997533952
44.0	87.54816216525234
45.0	86.4445030292985
46.0	85.26616328476229
47.0	84.01476338322323
48.0	82.70200018836721
49.0	81.31009808667442
50.0	79.84048011430352
51.0	78.31746949623286
