#Insert size (bp)	insert size
131.0	1.0
138.0	1.0
141.0	2.0
142.0	1.0
144.0	2.0
145.0	1.0
146.0	2.0
147.0	2.0
148.0	9.0
149.0	27.0
150.0	10849.0
151.0	21706.0
152.0	21259.0
153.0	21601.0
154.0	21969.0
155.0	22177.0
156.0	22080.0
157.0	21794.0
158.0	21795.0
159.0	21543.0
160.0	21142.0
161.0	21377.0
162.0	21058.0
163.0	21112.0
164.0	21056.0
165.0	21521.0
166.0	21400.0
167.0	21516.0
168.0	21318.0
169.0	20916.0
170.0	20765.0
171.0	21202.0
172.0	20762.0
173.0	20649.0
174.0	20694.0
175.0	20669.0
176.0	20855.0
177.0	20756.0
178.0	20415.0
179.0	20383.0
180.0	20113.0
181.0	19961.0
182.0	19977.0
183.0	19854.0
184.0	19807.0
185.0	19418.0
186.0	19473.0
187.0	20070.0
188.0	19735.0
189.0	19185.0
190.0	19324.0
191.0	19003.0
192.0	18958.0
193.0	18471.0
194.0	18474.0
195.0	18587.0
196.0	18609.0
197.0	18486.0
198.0	18232.0
199.0	17822.0
200.0	17772.0
201.0	17619.0
202.0	17271.0
203.0	16854.0
204.0	17234.0
205.0	16905.0
206.0	17226.0
207.0	17058.0
208.0	16707.0
209.0	16706.0
210.0	16443.0
211.0	15987.0
212.0	16070.0
213.0	15963.0
214.0	15896.0
215.0	15354.0
216.0	15356.0
217.0	15243.0
218.0	15164.0
219.0	15282.0
220.0	15014.0
221.0	14767.0
222.0	14729.0
223.0	14351.0
224.0	14200.0
225.0	13877.0
226.0	14122.0
227.0	14002.0
228.0	13602.0
229.0	13722.0
230.0	13750.0
231.0	13412.0
232.0	13214.0
233.0	12883.0
234.0	12517.0
235.0	12523.0
236.0	12595.0
237.0	12350.0
238.0	12387.0
239.0	12393.0
240.0	12286.0
241.0	12233.0
242.0	11854.0
243.0	11911.0
244.0	11583.0
245.0	11472.0
246.0	11258.0
247.0	11198.0
248.0	11349.0
249.0	11144.0
250.0	11321.0
251.0	10873.0
252.0	10731.0
253.0	10756.0
254.0	10569.0
255.0	10600.0
256.0	10219.0
257.0	10350.0
258.0	10355.0
259.0	10033.0
260.0	10139.0
261.0	10074.0
262.0	9923.0
263.0	9543.0
264.0	9573.0
265.0	9200.0
266.0	9014.0
267.0	9074.0
268.0	8668.0
269.0	8835.0
270.0	9006.0
271.0	8706.0
272.0	8549.0
273.0	8437.0
274.0	8380.0
275.0	8539.0
276.0	8289.0
277.0	8288.0
278.0	8202.0
279.0	8172.0
280.0	8112.0
281.0	8216.0
282.0	8125.0
283.0	8131.0
284.0	8105.0
285.0	8025.0
286.0	7892.0
287.0	7791.0
288.0	7924.0
289.0	7969.0
290.0	7642.0
291.0	7903.0
292.0	7902.0
293.0	7814.0
294.0	7719.0
295.0	7710.0
296.0	7570.0
297.0	7535.0
298.0	7654.0
299.0	7380.0
300.0	7448.0
301.0	7371.0
302.0	7516.0
303.0	7270.0
304.0	7371.0
305.0	7186.0
306.0	7260.0
307.0	7210.0
