#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	1.127625817669671E-6
7.0	0.0
8.0	0.0
9.0	1.127625817669671E-6
10.0	1.127625817669671E-6
11.0	0.0
12.0	1.127625817669671E-6
13.0	3.382877453009013E-6
14.0	7.893380723687698E-6
15.0	1.0148632359027038E-5
16.0	1.3531509812036052E-5
17.0	1.1276258176696712E-5
18.0	2.2552516353393416E-5
19.0	4.284978107144749E-5
20.0	7.555092978386796E-5
21.0	1.2629409157900316E-4
22.0	2.3116329262228257E-4
23.0	3.405429969362406E-4
24.0	5.717062895585233E-4
25.0	0.0011197324369459833
26.0	0.0014986147116829928
27.0	0.00284387231216291
28.0	0.004952532591205196
29.0	0.007895635975323037
30.0	0.012313673928952808
31.0	0.018078097108880167
32.0	0.02557342591893047
33.0	0.03424486845681024
34.0	0.04354552620094968
35.0	0.052981499043209486
36.0	0.06254827648031899
37.0	0.06952940791751193
38.0	0.07394519061950634
39.0	0.07567384099799394
40.0	0.07457778870321904
41.0	0.07124903728945817
42.0	0.06515647499658893
43.0	0.05738036735793888
44.0	0.050531168141413306
45.0	0.041884533371522266
46.0	0.03426516572152829
47.0	0.027662916559072367
48.0	0.02180828331373144
49.0	0.01700459733045864
50.0	0.013720950949404558
51.0	0.012234740121715932
52.0	0.007688152824871817
53.0	0.005762167928292018
54.0	0.0036320827587140105
55.0	0.002410863998177757
56.0	0.0016158877967206386
57.0	0.0010610958944271603
58.0	6.844688713254903E-4
59.0	4.8600672741562826E-4
60.0	3.4279824857158E-4
61.0	2.1424890535723748E-4
62.0	1.4208085302637856E-4
63.0	9.246531704891303E-5
64.0	6.652992324251059E-5
65.0	3.8339277800768805E-5
66.0	2.3680142171063086E-5
67.0	1.6914387265045066E-5
68.0	1.0148632359027038E-5
69.0	5.638129088348355E-6
70.0	4.510503270678684E-6
71.0	1.127625817669671E-6
72.0	2.255251635339342E-6
73.0	0.0
74.0	1.127625817669671E-6
75.0	3.382877453009013E-6
76.0	2.255251635339342E-6
77.0	0.0
78.0	0.0
79.0	0.0
80.0	3.382877453009013E-6
81.0	0.0
82.0	1.127625817669671E-6
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	5.638129088348355E-6
