#Duplication rate	Coverage
1.0	1556244.0
2.0	476985.0
3.0	152219.0
4.0	63744.0
5.0	27754.0
6.0	14213.0
7.0	7446.0
8.0	4505.0
9.0	2727.0
10.0	1874.0
11.0	1348.0
12.0	1013.0
13.0	779.0
14.0	693.0
15.0	525.0
16.0	468.0
17.0	392.0
18.0	324.0
19.0	312.0
20.0	265.0
21.0	250.0
22.0	222.0
23.0	185.0
24.0	174.0
25.0	148.0
26.0	154.0
27.0	128.0
28.0	149.0
29.0	103.0
30.0	119.0
31.0	113.0
32.0	109.0
33.0	78.0
34.0	85.0
35.0	69.0
36.0	85.0
37.0	74.0
38.0	78.0
39.0	53.0
40.0	59.0
41.0	51.0
42.0	45.0
43.0	47.0
44.0	50.0
45.0	43.0
46.0	50.0
47.0	42.0
48.0	38.0
49.0	35.0
50.0	835.0
